allDate,prevDay,prevWeek,avgTemp,wF,MonMed,classSession,dayType,season
3/1/2016 0:00,161.8642081,165.687474,70,159.2901281,133.3979114,1,wk,Spring
3/2/2016 0:00,159.2901281,162.5834363,63.5,157.7759634,133.3979114,1,wk,Spring
3/3/2016 0:00,157.7759634,162.5834363,72.5,169.207907,133.3979114,1,wk,Spring
3/4/2016 0:00,169.207907,NaN,60.5,129.9531867,133.3979114,1,wk,Spring
3/5/2016 0:00,129.9531867,54.20709682,68,119.126909,133.3979114,1,wknd,Spring
3/6/2016 0:00,119.126909,86.64807585,67.5,108.6413183,133.3979114,1,wknd,Spring
3/7/2016 0:00,108.6413183,161.8642081,70,172.2740905,133.3979114,1,wk,Spring
3/8/2016 0:00,172.2740905,159.2901281,75.5,165.5360575,133.3979114,1,wk,Spring
3/9/2016 0:00,165.5360575,157.7759634,65,162.6591446,133.3979114,1,wk,Spring
3/10/2016 0:00,162.6591446,169.207907,61,158.9115869,133.3979114,1,wk,Spring
3/11/2016 0:00,158.9115869,129.9531867,65,79.26652286,133.3979114,1,wk,Spring
3/12/2016 0:00,79.26652286,119.126909,65.5,8.782155351,133.3979114,0,wknd,Spring
3/13/2016 0:00,8.782155351,108.6413183,70.5,5.337430623,133.3979114,0,wknd,Spring
3/14/2016 0:00,5.337430623,172.2740905,73,42.3209038,133.3979114,0,wk,Spring
3/15/2016 0:00,42.3209038,165.5360575,79.5,43.64579793,133.3979114,0,wk,Spring
3/16/2016 0:00,43.64579793,162.6591446,71,46.06846147,133.3979114,0,wk,Spring
3/17/2016 0:00,46.06846147,158.9115869,73,67.45603808,133.3979114,0,wk,Spring
3/18/2016 0:00,67.45603808,79.26652286,67.5,87.44301233,133.3979114,0,wk,Spring
3/19/2016 0:00,87.44301233,8.782155351,54.5,71.0900334,133.3979114,0,wknd,Spring
3/20/2016 0:00,71.0900334,5.337430623,53,61.05869216,133.3979114,0,wknd,Spring
3/21/2016 0:00,61.05869216,42.3209038,51.5,165.1196622,133.3979114,1,wk,Spring
