allDate,avgTemp,eU,MonMed,classSession,dayType,season
5/28/2010 12:00,82.5,8480,7390,0,wk,Spring
5/29/2010 12:00,83.5,7420,7390,0,wknd,Spring
5/30/2010 12:00,84,7240,7390,0,wknd,Spring
5/31/2010 12:00,81.5,7360,7390,0,wk,Spring
6/1/2010 12:00,82,8450,9025,0,wk,Summer
6/2/2010 12:00,82,9000,9025,0,wk,Summer
6/3/2010 12:00,70.5,8800,9025,0,wk,Summer
6/4/2010 12:00,81.5,8800,9025,0,wk,Summer
6/5/2010 12:00,82,7450,9025,0,wknd,Summer
6/6/2010 12:00,86.5,7680,9025,0,wknd,Summer
6/7/2010 12:00,85,9110,9025,0,wk,Summer
6/8/2010 12:00,82.5,9190,9025,0,wk,Summer
6/9/2010 12:00,78.5,9070,9025,0,wk,Summer
6/10/2010 12:00,85.5,9150,9025,0,wk,Summer
6/11/2010 12:00,85,8740,9025,0,wk,Summer
6/12/2010 12:00,86.5,7620,9025,0,wknd,Summer
6/13/2010 12:00,86.5,7620,9025,0,wknd,Summer
6/14/2010 12:00,85.5,9050,9025,0,wk,Summer
6/15/2010 12:00,85.5,9300,9025,0,wk,Summer
6/16/2010 12:00,86,9290,9025,0,wk,Summer
6/17/2010 12:00,83.5,9430,9025,0,wk,Summer
6/18/2010 12:00,86,9060,9025,0,wk,Summer
6/19/2010 12:00,85.5,7560,9025,0,wknd,Summer
6/20/2010 12:00,85.5,7590,9025,0,wknd,Summer
6/21/2010 12:00,85,8980,9025,0,wk,Summer
6/22/2010 12:00,85,9370,9025,0,wk,Summer
6/23/2010 12:00,85.5,9140,9025,0,wk,Summer
6/24/2010 12:00,84,9140,9025,0,wk,Summer
6/25/2010 12:00,87,8970,9025,0,wk,Summer
6/26/2010 12:00,86.5,7880,9025,0,wknd,Summer
6/27/2010 12:00,87,7810,9025,0,wknd,Summer
6/28/2010 12:00,88,9150,9025,0,wk,Summer
6/29/2010 12:00,83,9150,9025,0,wk,Summer
6/30/2010 12:00,80.5,9090,9025,0,wk,Summer
7/1/2010 12:00,79,9170,9145,0,wk,Summer
7/2/2010 12:00,80.5,8810,9145,0,wk,Summer
7/3/2010 12:00,82.5,7620,9145,0,wknd,Summer
7/4/2010 12:00,85,7420,9145,0,wknd,Summer
7/5/2010 12:00,85,8910,9145,0,wk,Summer
7/6/2010 12:00,85,9290,9145,0,wk,Summer
7/7/2010 12:00,85,9450,9145,0,wk,Summer
7/8/2010 12:00,79,9140,9145,0,wk,Summer
7/9/2010 12:00,82,9140,9145,0,wk,Summer
7/12/2010 12:00,84.5,9220,9145,0,wk,Summer
7/13/2010 12:00,86,9270,9145,0,wk,Summer
7/14/2010 12:00,87,9490,9145,0,wk,Summer
7/15/2010 12:00,87,9420,9145,0,wk,Summer
7/16/2010 12:00,86.5,8890,9145,0,wk,Summer
7/17/2010 12:00,86.5,7660,9145,0,wknd,Summer
7/18/2010 12:00,87.5,7630,9145,0,wknd,Summer
7/19/2010 12:00,86.5,9140,9145,0,wk,Summer
7/20/2010 12:00,85.5,9410,9145,0,wk,Summer
7/21/2010 12:00,86,9560,9145,0,wk,Summer
7/22/2010 12:00,86.5,9540,9145,0,wk,Summer
7/23/2010 12:00,84.5,9200,9145,0,wk,Summer
7/24/2010 12:00,85,7830,9145,0,wknd,Summer
7/25/2010 12:00,85.5,7970,9145,0,wknd,Summer
7/26/2010 12:00,86,9010,9145,0,wk,Summer
7/27/2010 12:00,82,9440,9145,0,wk,Summer
7/28/2010 12:00,78.5,9330,9145,0,wk,Summer
7/29/2010 12:00,84.5,9400,9145,0,wk,Summer
7/30/2010 12:00,86,9150,9145,0,wk,Summer
7/31/2010 12:00,87,8070,9145,0,wknd,Summer
8/1/2010 12:00,87.5,8070,9365,0,wknd,Summer
8/2/2010 12:00,87.5,9300,9365,0,wk,Summer
8/3/2010 12:00,86.5,9470,9365,0,wk,Summer
8/4/2010 12:00,87.5,9680,9365,0,wk,Summer
8/5/2010 12:00,88,9730,9365,0,wk,Summer
8/6/2010 12:00,89.5,9500,9365,0,wk,Summer
8/7/2010 12:00,87.5,8350,9365,0,wknd,Summer
8/8/2010 12:00,88.5,8340,9365,0,wknd,Summer
8/9/2010 12:00,89,9390,9365,0,wk,Summer
8/10/2010 12:00,89.5,9810,9365,0,wk,Summer
8/11/2010 12:00,89,9630,9365,0,wk,Summer
8/12/2010 12:00,87.5,9570,9365,0,wk,Summer
8/13/2010 12:00,89,9340,9365,0,wk,Summer
8/14/2010 12:00,90.5,7990,9365,0,wknd,Summer
8/15/2010 12:00,90.5,8070,9365,0,wknd,Summer
8/16/2010 12:00,91,9160,9365,0,wk,Summer
8/17/2010 12:00,89.5,9260,9365,0,wk,Summer
8/18/2010 12:00,91,9890,9365,0,wk,Summer
8/19/2010 12:00,90,9760,9365,0,wk,Summer
8/20/2010 12:00,90,9480,9365,0,wk,Summer
8/21/2010 12:00,90,7900,9365,0,wknd,Summer
