allDate,avgTemp,eU,MonMed,classSession,dayType,season
1/14/2009 12:00,47,11924,13699,0,wk,Winter
1/15/2009 12:00,46,12006,13699,0,wk,Winter
1/16/2009 12:00,41.5,12009,13699,0,wk,Winter
1/17/2009 12:00,57.5,10881,13699,0,wknd,Winter
1/18/2009 12:00,61,11238,13699,0,wknd,Winter
1/19/2009 12:00,58,12184,13699,0,wk,Winter
1/20/2009 12:00,50,15522,13699,1,wk,Winter
1/21/2009 12:00,53.5,15866,13699,1,wk,Winter
1/22/2009 12:00,61,15775,13699,1,wk,Winter
1/23/2009 12:00,68,15255,13699,1,wk,Winter
1/24/2009 12:00,50.5,11631,13699,1,wknd,Winter
1/25/2009 12:00,48.5,12311,13699,1,wknd,Winter
1/26/2009 12:00,61.5,15933,13699,1,wk,Winter
1/27/2009 12:00,49.5,15864,13699,1,wk,Winter
1/28/2009 12:00,40,15780,13699,1,wk,Winter
1/29/2009 12:00,43,15987,13699,1,wk,Winter
1/30/2009 12:00,50.5,15087,13699,1,wk,Winter
1/31/2009 12:00,53.5,11717,13699,1,wknd,Winter
2/1/2009 12:00,61.5,12286,15248.5,1,wknd,Winter
2/2/2009 12:00,50.5,15863,15248.5,1,wk,Winter
2/3/2009 12:00,53.5,15964,15248.5,1,wk,Winter
2/4/2009 12:00,54,16083,15248.5,1,wk,Winter
2/5/2009 12:00,60.5,15993,15248.5,1,wk,Winter
2/6/2009 12:00,66.5,15040,15248.5,1,wk,Winter
2/7/2009 12:00,69.5,11686,15248.5,1,wknd,Winter
2/8/2009 12:00,66.5,12221,15248.5,1,wknd,Winter
2/9/2009 12:00,64.5,15760,15248.5,1,wk,Winter
2/10/2009 12:00,64.5,15905,15248.5,1,wk,Winter
2/11/2009 12:00,61.5,15401,15248.5,1,wk,Winter
2/12/2009 12:00,59.5,15183,15248.5,1,wk,Winter
2/13/2009 12:00,70,14522,15248.5,1,wk,Winter
2/14/2009 12:00,56,11074,15248.5,1,wknd,Winter
2/15/2009 12:00,58.5,11719,15248.5,1,wknd,Winter
2/16/2009 12:00,54.5,15231,15248.5,1,wk,Winter
2/17/2009 12:00,58,15449,15248.5,1,wk,Winter
2/18/2009 12:00,70,15441,15248.5,1,wk,Winter
2/19/2009 12:00,54.5,15378,15248.5,1,wk,Winter
2/20/2009 12:00,54,14143,15248.5,1,wk,Winter
2/21/2009 12:00,53.5,11199,15248.5,1,wknd,Winter
2/22/2009 12:00,49,11653,15248.5,1,wknd,Winter
2/23/2009 12:00,53,15266,15248.5,1,wk,Winter
2/24/2009 12:00,65.5,15531,15248.5,1,wk,Winter
2/25/2009 12:00,73,15661,15248.5,1,wk,Winter
2/26/2009 12:00,77.5,15557,15248.5,1,wk,Winter
2/27/2009 12:00,74.5,14877,15248.5,1,wk,Winter
2/28/2009 12:00,52.5,11440,15248.5,1,wknd,Winter
3/1/2009 12:00,48.5,11742,14711,1,wknd,Spring
3/2/2009 12:00,51,15146,14711,1,wk,Spring
3/3/2009 12:00,59.5,15796,14711,1,wk,Spring
3/4/2009 12:00,67.5,16179,14711,1,wk,Spring
3/5/2009 12:00,73.5,16390,14711,1,wk,Spring
3/6/2009 12:00,75.5,15648,14711,1,wk,Spring
3/7/2009 12:00,74,14436,14711,1,wknd,Spring
3/8/2009 12:00,77,13342,14711,1,wknd,Spring
3/9/2009 12:00,76,16628,14711,1,wk,Spring
3/10/2009 12:00,76,16673,14711,1,wk,Spring
3/11/2009 12:00,57,16534,14711,1,wk,Spring
3/12/2009 12:00,42.5,15794,14711,1,wk,Spring
3/13/2009 12:00,41,12836,14711,1,wk,Spring
3/14/2009 12:00,45.5,9755,14711,0,wknd,Spring
3/15/2009 12:00,55.5,9571,14711,0,wknd,Spring
3/16/2009 12:00,64,11307,14711,0,wk,Spring
3/17/2009 12:00,67.5,11481,14711,0,wk,Spring
3/18/2009 12:00,69.5,11308,14711,0,wk,Spring
3/19/2009 12:00,70.5,11254,14711,0,wk,Spring
3/20/2009 12:00,66.5,11272,14711,0,wk,Spring
3/21/2009 12:00,67,10253,14711,0,wknd,Spring
3/22/2009 12:00,73,10840,14711,0,wknd,Spring
3/23/2009 12:00,72.5,15932,14711,1,wk,Spring
3/24/2009 12:00,72,16148,14711,1,wk,Spring
3/25/2009 12:00,62,15907,14711,1,wk,Spring
3/26/2009 12:00,65.5,15671,14711,1,wk,Spring
3/27/2009 12:00,65,14711,14711,1,wk,Spring
3/28/2009 12:00,53.5,11603,14711,1,wknd,Spring
3/29/2009 12:00,56,12183,14711,1,wknd,Spring
3/30/2009 12:00,69.5,15781,14711,1,wk,Spring
3/31/2009 12:00,63.5,15969,14711,1,wk,Spring
4/1/2009 12:00,61.5,16010,15799.5,1,wk,Spring
4/2/2009 12:00,61,16206,15799.5,1,wk,Spring
4/3/2009 12:00,63,14992,15799.5,1,wk,Spring
4/4/2009 12:00,71.5,12055,15799.5,1,wknd,Spring
4/5/2009 12:00,63.5,12629,15799.5,1,wknd,Spring
4/6/2009 12:00,55,15854,15799.5,1,wk,Spring
4/7/2009 12:00,58,16002,15799.5,1,wk,Spring
4/8/2009 12:00,69,16375,15799.5,1,wk,Spring
4/9/2009 12:00,79,16424,15799.5,1,wk,Spring
4/10/2009 12:00,64.5,13259,15799.5,1,wk,Spring
4/11/2009 12:00,61,11531,15799.5,1,wknd,Spring
4/12/2009 12:00,70,12418,15799.5,1,wknd,Spring
4/13/2009 12:00,63.5,15743,15799.5,1,wk,Spring
4/14/2009 12:00,63,15851,15799.5,1,wk,Spring
4/15/2009 12:00,70,15634,15799.5,1,wk,Spring
4/16/2009 12:00,69,15845,15799.5,1,wk,Spring
4/17/2009 12:00,63.5,14943,15799.5,1,wk,Spring
4/18/2009 12:00,72.5,11864,15799.5,1,wknd,Spring
4/19/2009 12:00,69.5,12467,15799.5,1,wknd,Spring
4/20/2009 12:00,68.5,15754,15799.5,1,wk,Spring
4/21/2009 12:00,77,15924,15799.5,1,wk,Spring
4/22/2009 12:00,79,16584,15799.5,1,wk,Spring
4/23/2009 12:00,74,16627,15799.5,1,wk,Spring
4/24/2009 12:00,74.5,15564,15799.5,1,wk,Spring
4/25/2009 12:00,79.5,12663,15799.5,1,wknd,Spring
4/26/2009 12:00,76,13279,15799.5,1,wknd,Spring
4/27/2009 12:00,67.5,16707,15799.5,1,wk,Spring
4/28/2009 12:00,73,16602,15799.5,1,wk,Spring
4/29/2009 12:00,77,16748,15799.5,1,wk,Spring
4/30/2009 12:00,79,16352,15799.5,1,wk,Spring
5/1/2009 12:00,80,14991,12441,1,wk,Spring
5/2/2009 12:00,79.5,12097,12441,1,wknd,Spring
5/3/2009 12:00,74,12630,12441,1,wknd,Spring
5/4/2009 12:00,70,15797,12441,1,wk,Spring
5/5/2009 12:00,80,16127,12441,1,wk,Spring
5/6/2009 12:00,82.5,16202,12441,1,wk,Spring
5/7/2009 12:00,83,16140,12441,1,wk,Spring
5/8/2009 12:00,85.5,15106,12441,1,wk,Spring
5/9/2009 12:00,83,12226,12441,1,wknd,Spring
5/10/2009 12:00,83,12461,12441,1,wknd,Spring
5/11/2009 12:00,83.5,14883,12441,1,wk,Spring
5/12/2009 12:00,83.5,15344,12441,1,wk,Spring
5/13/2009 12:00,85,15927,12441,1,wk,Spring
5/14/2009 12:00,82.5,15660,12441,1,wk,Spring
5/15/2009 12:00,83,14949,12441,1,wk,Spring
5/16/2009 12:00,72.5,12441,12441,1,wknd,Spring
5/17/2009 12:00,68.5,11878,12441,1,wknd,Spring
5/18/2009 12:00,68,13147,12441,1,wk,Spring
5/19/2009 12:00,67.5,12558,12441,1,wk,Spring
5/20/2009 12:00,70.5,10962,12441,1,wk,Spring
5/21/2009 12:00,73,9546,12441,1,wk,Spring
5/22/2009 12:00,78.5,9563,12441,1,wk,Spring
5/23/2009 12:00,75,9393,12441,1,wknd,Spring
