DateTime,Water ( Gallons )
9/2/2009 0:00,8300
9/3/2009 0:00,5900
9/4/2009 0:00,5900
9/5/2009 0:00,6200
9/6/2009 0:00,5800
9/7/2009 0:00,5700
9/8/2009 0:00,5700
9/9/2009 0:00,9500
9/10/2009 0:00,5800
9/11/2009 0:00,5900
9/12/2009 0:00,5600
9/13/2009 0:00,6200
9/14/2009 0:00,5600
9/15/2009 0:00,5700
9/16/2009 0:00,9300
9/17/2009 0:00,5700
9/18/2009 0:00,5800
9/19/2009 0:00,6000
9/20/2009 0:00,5500
9/21/2009 0:00,5500
9/22/2009 0:00,2700
9/23/2009 0:00,1500
9/24/2009 0:00,5800
9/25/2009 0:00,5900
9/26/2009 0:00,5700
9/27/2009 0:00,5600
9/28/2009 0:00,5600
9/29/2009 0:00,5700
9/30/2009 0:00,9800
10/1/2009 0:00,5900
10/2/2009 0:00,6000
10/3/2009 0:00,5900
10/4/2009 0:00,5500
10/5/2009 0:00,5700
10/6/2009 0:00,6100
10/7/2009 0:00,9900
10/8/2009 0:00,5900
10/9/2009 0:00,5800
10/10/2009 0:00,5600
10/11/2009 0:00,5700
10/12/2009 0:00,5500
10/13/2009 0:00,5800
10/17/2009 0:00,6000
10/18/2009 0:00,5800
10/19/2009 0:00,5700
10/20/2009 0:00,5600
10/21/2009 0:00,10300
10/22/2009 0:00,5800
10/23/2009 0:00,5900
10/24/2009 0:00,5500
10/25/2009 0:00,5700
10/28/2009 0:00,5600
10/29/2009 0:00,5700
10/30/2009 0:00,5500
10/31/2009 0:00,5700
11/1/2009 0:00,5700
11/2/2009 0:00,7400
11/3/2009 0:00,8600
11/4/2009 0:00,12700
11/5/2009 0:00,9100
11/6/2009 0:00,9000
11/7/2009 0:00,9000
11/8/2009 0:00,8600
11/9/2009 0:00,8600
11/10/2009 0:00,9000
11/11/2009 0:00,9100
11/12/2009 0:00,8900
11/13/2009 0:00,7700
11/14/2009 0:00,6000
11/15/2009 0:00,5400
11/16/2009 0:00,5200
11/17/2009 0:00,5900
11/19/2009 0:00,15800
11/20/2009 0:00,5600
11/21/2009 0:00,5600
11/22/2009 0:00,5500
11/23/2009 0:00,5400
11/24/2009 0:00,5800
11/25/2009 0:00,5600
11/26/2009 0:00,5800
11/27/2009 0:00,5500
11/28/2009 0:00,5400
11/29/2009 0:00,5300
11/30/2009 0:00,5300
12/1/2009 0:00,5800
