DateTime,Water ( Gallons )
1/1/2014 0:00,56
1/2/2014 0:00,63
1/3/2014 0:00,735
1/4/2014 0:00,797
1/5/2014 0:00,114
1/6/2014 0:00,152
1/7/2014 0:00,731
1/8/2014 0:00,1174
1/9/2014 0:00,1041
1/10/2014 0:00,646
1/11/2014 0:00,1536
1/12/2014 0:00,5684
1/13/2014 0:00,4725
1/14/2014 0:00,4696
1/15/2014 0:00,6973
1/16/2014 0:00,4819
1/17/2014 0:00,4704
1/18/2014 0:00,5337
1/19/2014 0:00,3851
1/20/2014 0:00,3858
1/21/2014 0:00,4689
1/22/2014 0:00,5221
1/23/2014 0:00,4861
1/24/2014 0:00,5036
1/25/2014 0:00,4531
1/26/2014 0:00,4247
1/27/2014 0:00,5107
1/28/2014 0:00,4949
1/29/2014 0:00,5234
1/30/2014 0:00,4796
1/31/2014 0:00,4929
2/1/2014 0:00,4860
2/2/2014 0:00,3783
2/3/2014 0:00,4277
2/4/2014 0:00,4517
2/5/2014 0:00,4657
2/6/2014 0:00,4633
2/7/2014 0:00,4453
2/8/2014 0:00,4231
2/9/2014 0:00,3895
2/10/2014 0:00,5052
2/11/2014 0:00,4451
2/12/2014 0:00,4459
2/13/2014 0:00,5002
2/14/2014 0:00,5128
2/15/2014 0:00,4255
2/16/2014 0:00,3597
2/17/2014 0:00,4911
2/18/2014 0:00,4649
2/19/2014 0:00,4699
2/20/2014 0:00,4499
2/21/2014 0:00,4750
2/22/2014 0:00,4372
2/23/2014 0:00,3842
2/24/2014 0:00,4304
2/25/2014 0:00,4679
2/26/2014 0:00,4964
2/27/2014 0:00,4834
2/28/2014 0:00,5053
3/1/2014 0:00,5371
3/2/2014 0:00,8910
3/3/2014 0:00,4421
3/4/2014 0:00,4571
3/5/2014 0:00,4663
3/6/2014 0:00,5011
3/7/2014 0:00,5049
3/8/2014 0:00,4629
3/9/2014 0:00,1466
3/10/2014 0:00,1267
3/11/2014 0:00,1216
3/12/2014 0:00,1068
3/13/2014 0:00,1385
3/14/2014 0:00,1604
3/15/2014 0:00,1386
3/16/2014 0:00,1262
3/17/2014 0:00,3219
3/18/2014 0:00,4415
3/19/2014 0:00,5204
3/20/2014 0:00,5930
3/21/2014 0:00,4959
3/22/2014 0:00,4874
3/23/2014 0:00,4398
3/24/2014 0:00,4534
3/25/2014 0:00,4908
3/26/2014 0:00,5123
3/27/2014 0:00,4541
3/28/2014 0:00,4800
3/29/2014 0:00,4871
3/30/2014 0:00,4744
3/31/2014 0:00,5027
4/1/2014 0:00,6255
4/2/2014 0:00,6740
4/3/2014 0:00,6943
4/4/2014 0:00,7376
4/5/2014 0:00,7030
4/6/2014 0:00,6407
4/7/2014 0:00,6935
4/8/2014 0:00,6755
4/9/2014 0:00,7039
4/10/2014 0:00,6929
4/11/2014 0:00,5382
4/12/2014 0:00,4815
4/13/2014 0:00,4586
4/14/2014 0:00,4253
4/15/2014 0:00,4557
4/16/2014 0:00,5044
4/17/2014 0:00,5170
4/18/2014 0:00,6014
4/19/2014 0:00,4861
4/20/2014 0:00,3491
4/21/2014 0:00,3641
4/22/2014 0:00,4902
4/23/2014 0:00,5225
4/24/2014 0:00,4696
4/25/2014 0:00,5142
4/26/2014 0:00,4876
4/27/2014 0:00,4303
4/28/2014 0:00,4503
4/29/2014 0:00,4813
4/30/2014 0:00,5272
5/1/2014 0:00,5313
5/2/2014 0:00,5332
5/3/2014 0:00,5297
5/4/2014 0:00,4729
5/5/2014 0:00,4254
5/6/2014 0:00,5155
5/7/2014 0:00,5826
5/8/2014 0:00,5685
5/9/2014 0:00,5362
5/10/2014 0:00,6079
5/11/2014 0:00,5008
5/12/2014 0:00,3080
5/13/2014 0:00,4173
5/14/2014 0:00,2904
5/15/2014 0:00,716
5/16/2014 0:00,136
5/17/2014 0:00,132
5/18/2014 0:00,173
5/19/2014 0:00,119
5/20/2014 0:00,68
5/21/2014 0:00,316
5/22/2014 0:00,321
5/23/2014 0:00,83
5/24/2014 0:00,348
5/25/2014 0:00,57
5/26/2014 0:00,115
5/27/2014 0:00,37
5/28/2014 0:00,347
5/29/2014 0:00,318
5/30/2014 0:00,220
5/31/2014 0:00,282
6/1/2014 0:00,187
6/2/2014 0:00,196
6/3/2014 0:00,144
6/4/2014 0:00,193
6/5/2014 0:00,192
6/6/2014 0:00,152
6/7/2014 0:00,708
6/8/2014 0:00,60
6/9/2014 0:00,126
6/10/2014 0:00,161
6/11/2014 0:00,117
6/12/2014 0:00,165
6/13/2014 0:00,114
6/14/2014 0:00,226
6/15/2014 0:00,152
6/16/2014 0:00,246
6/17/2014 0:00,281
6/18/2014 0:00,371
6/19/2014 0:00,141
6/20/2014 0:00,1401
6/21/2014 0:00,105
6/22/2014 0:00,97
6/23/2014 0:00,137
6/24/2014 0:00,255
6/25/2014 0:00,1070
6/26/2014 0:00,123
6/27/2014 0:00,151
6/28/2014 0:00,386
6/29/2014 0:00,185
6/30/2014 0:00,148
7/1/2014 0:00,141
7/2/2014 0:00,634
7/3/2014 0:00,1000
7/4/2014 0:00,470
7/5/2014 0:00,125
7/6/2014 0:00,1876
7/7/2014 0:00,110
7/8/2014 0:00,749
7/9/2014 0:00,585
7/10/2014 0:00,347
7/11/2014 0:00,54
7/12/2014 0:00,107
7/13/2014 0:00,706
7/14/2014 0:00,160
7/15/2014 0:00,944
7/16/2014 0:00,1795
