DateTime,Water ( Gallons )
1/15/2009 0:00,12200
1/16/2009 0:00,13600
1/17/2009 0:00,11600
1/18/2009 0:00,2400
1/19/2009 0:00,2700
1/20/2009 0:00,2300
1/21/2009 0:00,18000
1/22/2009 0:00,19000
1/23/2009 0:00,12000
1/24/2009 0:00,17500
1/25/2009 0:00,3100
1/26/2009 0:00,2500
1/27/2009 0:00,17600
1/28/2009 0:00,18300
1/29/2009 0:00,18700
1/30/2009 0:00,13600
1/31/2009 0:00,15200
2/1/2009 0:00,2400
2/2/2009 0:00,1400
2/3/2009 0:00,16700
2/4/2009 0:00,19400
2/5/2009 0:00,28000
2/6/2009 0:00,26900
2/7/2009 0:00,10800
2/8/2009 0:00,2500
2/9/2009 0:00,1400
2/10/2009 0:00,17900
2/11/2009 0:00,18100
2/12/2009 0:00,16900
2/13/2009 0:00,15400
2/14/2009 0:00,10800
2/15/2009 0:00,1600
2/16/2009 0:00,2500
2/17/2009 0:00,15700
2/18/2009 0:00,18000
2/19/2009 0:00,17600
2/20/2009 0:00,15500
2/21/2009 0:00,14600
2/22/2009 0:00,1800
2/23/2009 0:00,1800
2/24/2009 0:00,17300
2/25/2009 0:00,16100
2/26/2009 0:00,18300
2/27/2009 0:00,17100
2/28/2009 0:00,13600
3/1/2009 0:00,2200
3/2/2009 0:00,2600
3/3/2009 0:00,15900
3/4/2009 0:00,17400
3/5/2009 0:00,16700
3/6/2009 0:00,19100
3/7/2009 0:00,15700
3/8/2009 0:00,2500
3/9/2009 0:00,1800
3/10/2009 0:00,16700
3/11/2009 0:00,17000
3/12/2009 0:00,15000
3/13/2009 0:00,16400
3/14/2009 0:00,17100
3/15/2009 0:00,1600
3/16/2009 0:00,2000
3/17/2009 0:00,16000
3/18/2009 0:00,15000
3/19/2009 0:00,15800
3/20/2009 0:00,15000
3/21/2009 0:00,10300
3/22/2009 0:00,3200
3/23/2009 0:00,2900
3/24/2009 0:00,16900
3/25/2009 0:00,13900
3/26/2009 0:00,15700
3/27/2009 0:00,15600
3/28/2009 0:00,12600
3/29/2009 0:00,2200
3/30/2009 0:00,1200
3/31/2009 0:00,15800
4/1/2009 0:00,16900
4/2/2009 0:00,13700
4/3/2009 0:00,17500
4/4/2009 0:00,10100
4/5/2009 0:00,2800
4/6/2009 0:00,2700
4/7/2009 0:00,16700
4/8/2009 0:00,16900
4/9/2009 0:00,14800
4/10/2009 0:00,13300
4/11/2009 0:00,9300
4/12/2009 0:00,2400
4/13/2009 0:00,2200
4/14/2009 0:00,13800
4/15/2009 0:00,14600
4/16/2009 0:00,10100
4/17/2009 0:00,13400
4/18/2009 0:00,11000
4/19/2009 0:00,2000
4/20/2009 0:00,3000
4/21/2009 0:00,14000
4/22/2009 0:00,14900
4/23/2009 0:00,11400
4/24/2009 0:00,13000
4/25/2009 0:00,8400
4/26/2009 0:00,4500
4/27/2009 0:00,3500
4/28/2009 0:00,14500
4/29/2009 0:00,15700
4/30/2009 0:00,13000
5/1/2009 0:00,14300
5/2/2009 0:00,14100
5/3/2009 0:00,2900
5/4/2009 0:00,2400
5/5/2009 0:00,14400
5/6/2009 0:00,13900
5/7/2009 0:00,13700
5/8/2009 0:00,14800
5/9/2009 0:00,11300
5/10/2009 0:00,2000
5/11/2009 0:00,2100
5/12/2009 0:00,16300
5/13/2009 0:00,16000
5/14/2009 0:00,14700
5/15/2009 0:00,10800
5/16/2009 0:00,15800
5/17/2009 0:00,2900
5/18/2009 0:00,4900
5/19/2009 0:00,15200
5/20/2009 0:00,11900
5/21/2009 0:00,16700
5/22/2009 0:00,16800
5/23/2009 0:00,10300
5/24/2009 0:00,1900
5/25/2009 0:00,3100
5/26/2009 0:00,1500
5/27/2009 0:00,15100
5/28/2009 0:00,15700
5/29/2009 0:00,16800
5/30/2009 0:00,16400
5/31/2009 0:00,3000
6/1/2009 0:00,3700
