DateTime,Water ( Gallons )
5/23/2009 0:00,1400
5/24/2009 0:00,1000
5/25/2009 0:00,900
5/26/2009 0:00,1000
5/27/2009 0:00,1700
5/28/2009 0:00,2100
5/29/2009 0:00,1400
5/30/2009 0:00,1300
5/31/2009 0:00,1000
6/1/2009 0:00,1100
6/2/2009 0:00,1500
6/3/2009 0:00,1600
6/4/2009 0:00,1500
6/5/2009 0:00,1700
6/6/2009 0:00,2100
6/7/2009 0:00,1100
6/8/2009 0:00,1000
6/9/2009 0:00,2300
6/10/2009 0:00,2500
6/11/2009 0:00,3600
6/12/2009 0:00,4800
6/13/2009 0:00,4700
6/14/2009 0:00,1300
6/15/2009 0:00,1200
6/16/2009 0:00,3600
6/17/2009 0:00,4300
6/18/2009 0:00,4000
6/19/2009 0:00,4200
6/20/2009 0:00,3800
6/21/2009 0:00,1200
6/22/2009 0:00,1100
6/24/2009 0:00,2800
6/25/2009 0:00,4000
6/26/2009 0:00,4100
6/27/2009 0:00,3900
6/28/2009 0:00,1100
6/29/2009 0:00,1200
6/30/2009 0:00,4400
7/1/2009 0:00,2900
7/2/2009 0:00,5100
7/3/2009 0:00,4200
7/4/2009 0:00,4200
7/5/2009 0:00,1100
7/6/2009 0:00,1200
7/7/2009 0:00,5200
7/8/2009 0:00,5800
7/9/2009 0:00,2700
7/10/2009 0:00,2200
7/11/2009 0:00,1300
7/12/2009 0:00,1200
7/13/2009 0:00,1200
7/14/2009 0:00,2000
7/15/2009 0:00,2000
7/16/2009 0:00,1900
7/17/2009 0:00,1600
7/18/2009 0:00,2200
7/19/2009 0:00,1000
7/20/2009 0:00,1100
7/21/2009 0:00,1500
7/22/2009 0:00,1400
7/23/2009 0:00,1500
7/24/2009 0:00,1400
7/25/2009 0:00,1600
7/26/2009 0:00,1000
7/27/2009 0:00,1100
7/28/2009 0:00,1500
7/29/2009 0:00,1500
7/30/2009 0:00,1500
7/31/2009 0:00,1400
8/1/2009 0:00,1300
8/2/2009 0:00,1200
8/3/2009 0:00,1200
8/4/2009 0:00,1600
8/5/2009 0:00,1800
8/6/2009 0:00,2200
8/7/2009 0:00,1500
8/8/2009 0:00,2700
8/9/2009 0:00,1400
8/10/2009 0:00,1300
8/11/2009 0:00,1700
8/12/2009 0:00,2000
8/13/2009 0:00,1800
8/14/2009 0:00,1900
8/15/2009 0:00,2000
8/16/2009 0:00,1200
8/17/2009 0:00,1100
8/18/2009 0:00,2100
8/19/2009 0:00,2100
8/20/2009 0:00,1700
