DateTime,Water ( Gallons )
2/3/2010 0:00,10000
2/4/2010 0:00,9000
2/5/2010 0:00,9000
2/6/2010 0:00,9000
2/7/2010 0:00,2000
2/8/2010 0:00,2000
2/9/2010 0:00,9000
2/10/2010 0:00,10000
2/11/2010 0:00,11000
2/12/2010 0:00,9000
2/13/2010 0:00,7000
2/14/2010 0:00,1000
2/15/2010 0:00,0
2/16/2010 0:00,10000
2/17/2010 0:00,10000
2/18/2010 0:00,10000
2/19/2010 0:00,37000
2/20/2010 0:00,52000
2/21/2010 0:00,1000
2/22/2010 0:00,0
2/23/2010 0:00,11000
2/24/2010 0:00,9000
2/25/2010 0:00,11000
2/26/2010 0:00,10000
2/27/2010 0:00,9000
2/28/2010 0:00,2000
3/1/2010 0:00,1000
3/2/2010 0:00,10000
3/3/2010 0:00,11000
3/4/2010 0:00,11000
3/5/2010 0:00,10000
3/6/2010 0:00,8000
3/7/2010 0:00,2000
3/8/2010 0:00,1000
3/9/2010 0:00,10000
3/10/2010 0:00,37000
3/11/2010 0:00,42000
3/12/2010 0:00,8000
3/13/2010 0:00,23000
3/14/2010 0:00,71000
3/15/2010 0:00,66000
3/16/2010 0:00,36000
3/17/2010 0:00,3000
3/18/2010 0:00,3000
3/19/2010 0:00,3000
3/20/2010 0:00,4000
3/21/2010 0:00,1000
3/22/2010 0:00,0
3/23/2010 0:00,9000
3/24/2010 0:00,11000
3/25/2010 0:00,10000
3/26/2010 0:00,10000
3/27/2010 0:00,8000
3/28/2010 0:00,2000
3/29/2010 0:00,1000
3/30/2010 0:00,10000
3/31/2010 0:00,11000
4/1/2010 0:00,11000
4/2/2010 0:00,11000
4/3/2010 0:00,8000
4/4/2010 0:00,1000
4/5/2010 0:00,0
4/6/2010 0:00,2100
4/7/2010 0:00,1000
4/8/2010 0:00,5100
4/9/2010 0:00,9300
4/10/2010 0:00,3500
4/11/2010 0:00,200
4/12/2010 0:00,0
4/13/2010 0:00,1000
4/14/2010 0:00,1000
4/15/2010 0:00,1000
4/16/2010 0:00,900
4/17/2010 0:00,800
4/18/2010 0:00,400
4/19/2010 0:00,100
4/20/2010 0:00,900
4/21/2010 0:00,1000
4/22/2010 0:00,1000
4/23/2010 0:00,900
4/24/2010 0:00,800
4/25/2010 0:00,100
4/26/2010 0:00,100
4/27/2010 0:00,900
4/28/2010 0:00,1000
4/29/2010 0:00,1100
4/30/2010 0:00,800
5/1/2010 0:00,800
5/2/2010 0:00,100
5/3/2010 0:00,0
5/4/2010 0:00,1000
5/5/2010 0:00,900
5/6/2010 0:00,1000
5/7/2010 0:00,900
5/8/2010 0:00,800
5/9/2010 0:00,100
5/10/2010 0:00,100
5/11/2010 0:00,400
5/12/2010 0:00,500
5/13/2010 0:00,500
5/14/2010 0:00,600
5/15/2010 0:00,400
5/16/2010 0:00,100
5/17/2010 0:00,100
5/18/2010 0:00,500
5/19/2010 0:00,500
5/20/2010 0:00,400
5/21/2010 0:00,300
5/22/2010 0:00,300
5/23/2010 0:00,1900
5/24/2010 0:00,0
5/25/2010 0:00,300
5/26/2010 0:00,400
5/27/2010 0:00,500
5/28/2010 0:00,300
5/29/2010 0:00,300
5/30/2010 0:00,100
5/31/2010 0:00,0
6/1/2010 0:00,0
6/2/2010 0:00,600
6/3/2010 0:00,300
6/4/2010 0:00,500
6/5/2010 0:00,500
6/6/2010 0:00,200
6/7/2010 0:00,0
6/8/2010 0:00,400
6/9/2010 0:00,500
6/10/2010 0:00,600
6/11/2010 0:00,600
6/12/2010 0:00,400
6/13/2010 0:00,100
6/14/2010 0:00,0
6/15/2010 0:00,600
6/16/2010 0:00,400
6/17/2010 0:00,700
6/18/2010 0:00,400
6/19/2010 0:00,1600
6/20/2010 0:00,2500
6/21/2010 0:00,2500
6/22/2010 0:00,2900
6/23/2010 0:00,2900
6/24/2010 0:00,2900
6/25/2010 0:00,3100
6/26/2010 0:00,3000
6/27/2010 0:00,2600
6/28/2010 0:00,2600
6/29/2010 0:00,1800
6/30/2010 0:00,1300
7/1/2010 0:00,1200
7/2/2010 0:00,1300
7/3/2010 0:00,1100
7/4/2010 0:00,800
7/5/2010 0:00,800
7/6/2010 0:00,1200
7/7/2010 0:00,1300
7/8/2010 0:00,1200
7/9/2010 0:00,1300
7/10/2010 0:00,1300
