DateTime,Water ( Gallons )
1/15/2009 0:00,2000
1/16/2009 0:00,1000
1/17/2009 0:00,3000
1/18/2009 0:00,2000
1/19/2009 0:00,4000
1/20/2009 0:00,5000
1/21/2009 0:00,6000
1/22/2009 0:00,6000
1/23/2009 0:00,6000
1/24/2009 0:00,6000
1/25/2009 0:00,6000
1/26/2009 0:00,6000
1/27/2009 0:00,6000
1/28/2009 0:00,7000
1/29/2009 0:00,6000
1/30/2009 0:00,7000
1/31/2009 0:00,6000
2/1/2009 0:00,6000
2/2/2009 0:00,5000
2/3/2009 0:00,6000
2/4/2009 0:00,7000
2/5/2009 0:00,6000
2/6/2009 0:00,6000
2/7/2009 0:00,7000
2/8/2009 0:00,6000
2/9/2009 0:00,5000
2/10/2009 0:00,6000
2/11/2009 0:00,7000
2/12/2009 0:00,6000
2/13/2009 0:00,7000
2/14/2009 0:00,6000
2/15/2009 0:00,6000
2/16/2009 0:00,6000
2/17/2009 0:00,6000
2/18/2009 0:00,6000
2/19/2009 0:00,7000
2/20/2009 0:00,6000
2/21/2009 0:00,6000
2/22/2009 0:00,7000
2/23/2009 0:00,5000
2/24/2009 0:00,7000
2/25/2009 0:00,6000
2/26/2009 0:00,7000
2/27/2009 0:00,6000
2/28/2009 0:00,7000
3/1/2009 0:00,5000
3/2/2009 0:00,6000
3/3/2009 0:00,6000
3/4/2009 0:00,6000
3/5/2009 0:00,7000
3/6/2009 0:00,6000
3/7/2009 0:00,7000
3/8/2009 0:00,6000
3/9/2009 0:00,6000
3/10/2009 0:00,6000
3/11/2009 0:00,6000
3/12/2009 0:00,6000
3/13/2009 0:00,7000
3/14/2009 0:00,5000
3/15/2009 0:00,2000
3/16/2009 0:00,1000
3/17/2009 0:00,1000
3/18/2009 0:00,1000
3/19/2009 0:00,1000
3/20/2009 0:00,2000
3/21/2009 0:00,1000
3/22/2009 0:00,1000
3/23/2009 0:00,4000
3/24/2009 0:00,6000
3/25/2009 0:00,6000
3/26/2009 0:00,7000
3/27/2009 0:00,6000
3/28/2009 0:00,6000
3/29/2009 0:00,5000
3/30/2009 0:00,6000
3/31/2009 0:00,6000
4/1/2009 0:00,6000
4/2/2009 0:00,6000
4/3/2009 0:00,7000
4/4/2009 0:00,6000
4/5/2009 0:00,6000
4/6/2009 0:00,6000
4/7/2009 0:00,6000
4/8/2009 0:00,6000
4/9/2009 0:00,6000
4/10/2009 0:00,6000
4/11/2009 0:00,5000
4/12/2009 0:00,5000
4/13/2009 0:00,5000
4/14/2009 0:00,6000
4/15/2009 0:00,6000
4/16/2009 0:00,6000
4/17/2009 0:00,6000
4/18/2009 0:00,7000
4/19/2009 0:00,5000
4/20/2009 0:00,6000
4/21/2009 0:00,6000
4/22/2009 0:00,6000
4/23/2009 0:00,7000
4/24/2009 0:00,7000
4/25/2009 0:00,6000
4/26/2009 0:00,5000
4/27/2009 0:00,6000
4/28/2009 0:00,6000
4/29/2009 0:00,7000
4/30/2009 0:00,5000
5/1/2009 0:00,7000
5/2/2009 0:00,6000
5/3/2009 0:00,7000
5/4/2009 0:00,6000
5/5/2009 0:00,7000
5/6/2009 0:00,6000
5/7/2009 0:00,6000
5/8/2009 0:00,7000
5/9/2009 0:00,6000
5/10/2009 0:00,5000
5/11/2009 0:00,5000
5/12/2009 0:00,6000
5/13/2009 0:00,6000
5/14/2009 0:00,6000
5/15/2009 0:00,6000
5/16/2009 0:00,5000
5/17/2009 0:00,5000
5/18/2009 0:00,5000
5/19/2009 0:00,5000
5/20/2009 0:00,4000
5/21/2009 0:00,1000
5/22/2009 0:00,1000
5/23/2009 0:00,0
5/24/2009 0:00,0
5/25/2009 0:00,0
5/26/2009 0:00,1000
5/27/2009 0:00,0
5/28/2009 0:00,0
5/29/2009 0:00,0
5/30/2009 0:00,0
5/31/2009 0:00,0
6/1/2009 0:00,1000
6/2/2009 0:00,0
6/3/2009 0:00,0
6/4/2009 0:00,0
6/5/2009 0:00,0
6/6/2009 0:00,0
6/7/2009 0:00,0
6/8/2009 0:00,1000
6/9/2009 0:00,0
6/10/2009 0:00,0
6/11/2009 0:00,1000
6/12/2009 0:00,0
6/13/2009 0:00,1000
6/14/2009 0:00,0
6/15/2009 0:00,0
6/16/2009 0:00,0
6/17/2009 0:00,0
6/18/2009 0:00,0
6/19/2009 0:00,1000
6/20/2009 0:00,0
6/21/2009 0:00,0
6/22/2009 0:00,0
6/24/2009 0:00,0
6/25/2009 0:00,0
6/26/2009 0:00,1000
6/27/2009 0:00,13000
6/28/2009 0:00,0
6/29/2009 0:00,0
6/30/2009 0:00,0
7/1/2009 0:00,0
7/2/2009 0:00,1000
7/3/2009 0:00,1000
7/4/2009 0:00,0
7/5/2009 0:00,0
7/6/2009 0:00,0
7/7/2009 0:00,1000
7/8/2009 0:00,1000
7/9/2009 0:00,0
7/10/2009 0:00,1000
7/11/2009 0:00,0
7/12/2009 0:00,0
7/13/2009 0:00,0
7/14/2009 0:00,1000
7/15/2009 0:00,1000
7/16/2009 0:00,0
7/17/2009 0:00,0
7/18/2009 0:00,2000
7/19/2009 0:00,0
7/20/2009 0:00,0
7/21/2009 0:00,1000
7/22/2009 0:00,2000
7/23/2009 0:00,0
