DateTime,Water ( Gallons )
1/15/2009 0:00,1700
1/16/2009 0:00,2500
1/17/2009 0:00,3400
1/18/2009 0:00,4100
1/19/2009 0:00,7000
1/20/2009 0:00,10200
1/21/2009 0:00,11700
1/22/2009 0:00,11800
1/23/2009 0:00,11700
1/24/2009 0:00,11600
1/25/2009 0:00,11000
1/26/2009 0:00,11200
1/27/2009 0:00,11200
1/28/2009 0:00,11000
1/29/2009 0:00,12000
1/30/2009 0:00,11900
1/31/2009 0:00,11000
2/1/2009 0:00,10700
2/2/2009 0:00,10400
2/3/2009 0:00,12100
2/4/2009 0:00,11200
2/5/2009 0:00,11600
2/6/2009 0:00,11100
2/7/2009 0:00,11100
2/8/2009 0:00,9600
2/9/2009 0:00,10200
2/10/2009 0:00,11600
2/11/2009 0:00,11600
2/12/2009 0:00,11800
2/13/2009 0:00,11600
2/14/2009 0:00,12000
2/15/2009 0:00,10200
2/16/2009 0:00,10200
2/17/2009 0:00,12200
2/18/2009 0:00,11400
2/19/2009 0:00,11900
2/20/2009 0:00,11200
2/21/2009 0:00,11300
2/22/2009 0:00,10500
2/23/2009 0:00,11100
2/24/2009 0:00,12200
2/25/2009 0:00,11500
2/26/2009 0:00,11700
2/27/2009 0:00,11400
2/28/2009 0:00,12100
3/1/2009 0:00,10400
3/2/2009 0:00,10900
3/3/2009 0:00,11300
3/4/2009 0:00,11900
3/5/2009 0:00,12100
3/6/2009 0:00,11300
3/7/2009 0:00,11900
3/8/2009 0:00,10100
3/9/2009 0:00,11500
3/10/2009 0:00,11100
3/11/2009 0:00,11200
3/12/2009 0:00,11500
3/13/2009 0:00,12400
3/14/2009 0:00,9800
3/15/2009 0:00,3300
3/16/2009 0:00,1700
3/17/2009 0:00,1200
3/18/2009 0:00,800
3/19/2009 0:00,1100
3/20/2009 0:00,1400
3/21/2009 0:00,1900
3/22/2009 0:00,2900
3/23/2009 0:00,6400
3/24/2009 0:00,10800
3/25/2009 0:00,11400
3/26/2009 0:00,10800
3/27/2009 0:00,11300
3/28/2009 0:00,11100
3/29/2009 0:00,10200
3/30/2009 0:00,10700
3/31/2009 0:00,11700
4/1/2009 0:00,10500
4/2/2009 0:00,11200
4/3/2009 0:00,10800
4/4/2009 0:00,11600
4/5/2009 0:00,10000
4/6/2009 0:00,10900
4/7/2009 0:00,11500
4/8/2009 0:00,12000
4/9/2009 0:00,11000
4/10/2009 0:00,10800
4/11/2009 0:00,9600
4/12/2009 0:00,6800
4/13/2009 0:00,8000
4/14/2009 0:00,10900
4/15/2009 0:00,10600
4/16/2009 0:00,10800
4/17/2009 0:00,10500
4/18/2009 0:00,11000
4/19/2009 0:00,9300
4/20/2009 0:00,10300
4/21/2009 0:00,10700
4/22/2009 0:00,11100
4/23/2009 0:00,10900
4/24/2009 0:00,10500
4/25/2009 0:00,10600
4/26/2009 0:00,9300
4/27/2009 0:00,10200
4/28/2009 0:00,10600
4/29/2009 0:00,11700
4/30/2009 0:00,11300
5/1/2009 0:00,11100
5/2/2009 0:00,11600
5/3/2009 0:00,10600
5/4/2009 0:00,11700
5/5/2009 0:00,11000
5/6/2009 0:00,11000
5/7/2009 0:00,11100
5/8/2009 0:00,10500
5/9/2009 0:00,11800
5/10/2009 0:00,9100
5/11/2009 0:00,8700
5/12/2009 0:00,9300
5/13/2009 0:00,9600
5/14/2009 0:00,10900
5/15/2009 0:00,10000
5/16/2009 0:00,9000
5/17/2009 0:00,9000
5/18/2009 0:00,7600
5/19/2009 0:00,6300
5/20/2009 0:00,4300
5/21/2009 0:00,500
5/22/2009 0:00,100
5/23/2009 0:00,100
5/24/2009 0:00,0
5/25/2009 0:00,0
5/26/2009 0:00,0
5/27/2009 0:00,200
5/28/2009 0:00,0
5/29/2009 0:00,0
5/30/2009 0:00,100
5/31/2009 0:00,300
6/1/2009 0:00,100
6/2/2009 0:00,700
6/3/2009 0:00,1100
6/4/2009 0:00,200
6/5/2009 0:00,100
6/6/2009 0:00,100
6/7/2009 0:00,0
6/8/2009 0:00,100
6/9/2009 0:00,0
6/10/2009 0:00,100
6/11/2009 0:00,0
6/12/2009 0:00,100
6/13/2009 0:00,0
6/14/2009 0:00,0
6/15/2009 0:00,0
6/16/2009 0:00,0
6/17/2009 0:00,100
6/18/2009 0:00,0
6/19/2009 0:00,0
6/20/2009 0:00,100
6/21/2009 0:00,0
6/22/2009 0:00,0
6/24/2009 0:00,100
6/25/2009 0:00,0
6/26/2009 0:00,200
6/27/2009 0:00,300
6/28/2009 0:00,0
6/29/2009 0:00,0
6/30/2009 0:00,300
7/1/2009 0:00,300
7/2/2009 0:00,400
7/3/2009 0:00,800
7/4/2009 0:00,700
7/5/2009 0:00,0
7/6/2009 0:00,0
7/7/2009 0:00,600
7/8/2009 0:00,800
7/9/2009 0:00,700
7/10/2009 0:00,1400
7/11/2009 0:00,900
7/12/2009 0:00,0
7/13/2009 0:00,100
7/14/2009 0:00,500
7/15/2009 0:00,0
7/16/2009 0:00,100
7/17/2009 0:00,300
7/18/2009 0:00,0
7/19/2009 0:00,0
7/20/2009 0:00,0
7/21/2009 0:00,100
7/22/2009 0:00,400
7/23/2009 0:00,500
7/24/2009 0:00,300
7/25/2009 0:00,400
7/26/2009 0:00,0
7/27/2009 0:00,0
7/28/2009 0:00,700
7/29/2009 0:00,600
7/30/2009 0:00,700
7/31/2009 0:00,600
8/1/2009 0:00,400
8/2/2009 0:00,400
8/3/2009 0:00,200
8/4/2009 0:00,200
8/5/2009 0:00,500
8/6/2009 0:00,200
8/7/2009 0:00,400
8/8/2009 0:00,200
8/9/2009 0:00,0
8/10/2009 0:00,0
8/11/2009 0:00,400
8/12/2009 0:00,300
8/13/2009 0:00,100
8/14/2009 0:00,100
8/15/2009 0:00,200
8/16/2009 0:00,500
8/17/2009 0:00,200
8/18/2009 0:00,400
8/19/2009 0:00,700
8/20/2009 0:00,900
8/21/2009 0:00,1200
8/22/2009 0:00,2200
8/23/2009 0:00,3700
8/24/2009 0:00,5700
8/25/2009 0:00,6400
8/26/2009 0:00,6800
8/27/2009 0:00,7200
8/28/2009 0:00,8000
8/29/2009 0:00,7400
8/30/2009 0:00,7300
8/31/2009 0:00,8000
9/1/2009 0:00,7800
9/2/2009 0:00,8000
9/3/2009 0:00,8100
9/4/2009 0:00,8000
9/5/2009 0:00,7300
9/6/2009 0:00,5400
9/7/2009 0:00,5500
9/8/2009 0:00,6300
9/9/2009 0:00,8200
9/10/2009 0:00,8200
9/11/2009 0:00,8000
9/12/2009 0:00,7700
9/13/2009 0:00,7300
9/14/2009 0:00,7700
9/15/2009 0:00,8000
9/16/2009 0:00,8300
9/17/2009 0:00,7800
9/18/2009 0:00,8200
9/19/2009 0:00,7900
9/20/2009 0:00,6600
9/21/2009 0:00,8700
9/22/2009 0:00,8000
9/23/2009 0:00,8200
9/24/2009 0:00,8100
9/25/2009 0:00,8200
9/26/2009 0:00,7400
9/27/2009 0:00,6600
9/28/2009 0:00,7700
9/29/2009 0:00,7900
9/30/2009 0:00,7600
10/1/2009 0:00,8000
10/2/2009 0:00,8000
10/3/2009 0:00,7800
10/4/2009 0:00,7200
10/5/2009 0:00,7700
10/6/2009 0:00,8600
10/7/2009 0:00,7900
10/8/2009 0:00,8100
10/9/2009 0:00,7800
10/10/2009 0:00,7200
10/11/2009 0:00,6000
10/12/2009 0:00,7300
10/13/2009 0:00,8300
10/14/2009 0:00,8300
10/15/2009 0:00,8300
10/16/2009 0:00,8300
10/17/2009 0:00,7200
10/18/2009 0:00,5100
10/19/2009 0:00,6500
10/20/2009 0:00,7800
10/21/2009 0:00,7700
10/22/2009 0:00,7900
10/23/2009 0:00,7900
10/24/2009 0:00,7300
10/25/2009 0:00,6300
10/28/2009 0:00,8600
10/29/2009 0:00,7800
10/30/2009 0:00,7800
10/31/2009 0:00,8100
11/1/2009 0:00,6900
11/2/2009 0:00,8000
11/3/2009 0:00,7800
11/4/2009 0:00,7800
11/5/2009 0:00,8000
11/6/2009 0:00,7700
11/7/2009 0:00,7800
11/8/2009 0:00,6000
11/9/2009 0:00,7200
11/10/2009 0:00,8000
11/11/2009 0:00,8200
11/12/2009 0:00,7800
11/13/2009 0:00,7600
11/14/2009 0:00,8000
11/15/2009 0:00,8500
11/16/2009 0:00,10000
11/17/2009 0:00,9100
11/19/2009 0:00,15800
11/20/2009 0:00,8300
11/21/2009 0:00,7900
11/22/2009 0:00,7400
11/23/2009 0:00,8500
11/24/2009 0:00,7700
11/25/2009 0:00,7400
11/26/2009 0:00,3800
11/27/2009 0:00,800
11/28/2009 0:00,400
11/29/2009 0:00,700
11/30/2009 0:00,3400
12/1/2009 0:00,7400
12/2/2009 0:00,8200
12/3/2009 0:00,7800
12/4/2009 0:00,7800
12/5/2009 0:00,7600
12/6/2009 0:00,6900
12/7/2009 0:00,6900
12/8/2009 0:00,7700
12/9/2009 0:00,7400
12/10/2009 0:00,8700
12/11/2009 0:00,7300
12/12/2009 0:00,7200
12/13/2009 0:00,6300
12/14/2009 0:00,5700
12/15/2009 0:00,4900
12/16/2009 0:00,4200
12/17/2009 0:00,700
12/18/2009 0:00,100
12/19/2009 0:00,200
12/20/2009 0:00,0
12/21/2009 0:00,0
12/22/2009 0:00,200
12/23/2009 0:00,0
12/24/2009 0:00,0
12/25/2009 0:00,0
12/26/2009 0:00,0
12/27/2009 0:00,0
12/28/2009 0:00,0
12/29/2009 0:00,0
12/30/2009 0:00,0
12/31/2009 0:00,0
1/1/2010 0:00,0
1/2/2010 0:00,0
1/3/2010 0:00,0
1/4/2010 0:00,0
1/5/2010 0:00,0
1/6/2010 0:00,0
1/7/2010 0:00,200
1/8/2010 0:00,300
1/9/2010 0:00,200
1/10/2010 0:00,100
1/11/2010 0:00,700
1/12/2010 0:00,1000
1/13/2010 0:00,1200
1/14/2010 0:00,1400
1/15/2010 0:00,1300
1/16/2010 0:00,1800
1/17/2010 0:00,2500
1/18/2010 0:00,4700
1/19/2010 0:00,7100
1/20/2010 0:00,8200
1/21/2010 0:00,8200
1/22/2010 0:00,8300
1/23/2010 0:00,7500
1/24/2010 0:00,8000
1/25/2010 0:00,8200
1/26/2010 0:00,8700
1/27/2010 0:00,8600
1/28/2010 0:00,8300
1/29/2010 0:00,8100
1/30/2010 0:00,8200
1/31/2010 0:00,7500
2/1/2010 0:00,8300
2/2/2010 0:00,7900
2/3/2010 0:00,8200
2/4/2010 0:00,7800
2/5/2010 0:00,8000
2/6/2010 0:00,7700
2/7/2010 0:00,6700
2/8/2010 0:00,7500
2/9/2010 0:00,7900
2/10/2010 0:00,8300
2/11/2010 0:00,7700
2/12/2010 0:00,7800
2/13/2010 0:00,7700
2/14/2010 0:00,6900
2/15/2010 0:00,7800
2/16/2010 0:00,7800
2/17/2010 0:00,8100
2/18/2010 0:00,7700
2/19/2010 0:00,8000
2/20/2010 0:00,7400
2/21/2010 0:00,7200
2/22/2010 0:00,7900
2/23/2010 0:00,8100
2/24/2010 0:00,7800
2/25/2010 0:00,7800
2/26/2010 0:00,8100
2/27/2010 0:00,7700
2/28/2010 0:00,7000
3/1/2010 0:00,8100
3/2/2010 0:00,8200
3/3/2010 0:00,8300
3/4/2010 0:00,8100
