DateTime,Water ( Gallons )
1/15/2009 0:00,23500
1/16/2009 0:00,22300
1/17/2009 0:00,22200
1/18/2009 0:00,23300
1/19/2009 0:00,22500
1/20/2009 0:00,33300
1/21/2009 0:00,50600
1/22/2009 0:00,23000
1/23/2009 0:00,22500
1/24/2009 0:00,21700
1/25/2009 0:00,21900
1/26/2009 0:00,22400
1/27/2009 0:00,32900
1/28/2009 0:00,50400
1/29/2009 0:00,22600
1/30/2009 0:00,22900
1/31/2009 0:00,22100
2/1/2009 0:00,22200
2/2/2009 0:00,22100
2/3/2009 0:00,33700
2/4/2009 0:00,50400
2/5/2009 0:00,21600
2/6/2009 0:00,20600
2/7/2009 0:00,20400
2/8/2009 0:00,19600
2/9/2009 0:00,19500
2/10/2009 0:00,28600
2/11/2009 0:00,49900
2/12/2009 0:00,20200
2/13/2009 0:00,20700
2/14/2009 0:00,20300
2/15/2009 0:00,20700
2/16/2009 0:00,20400
2/17/2009 0:00,30900
2/18/2009 0:00,50700
2/19/2009 0:00,21100
2/20/2009 0:00,20800
2/21/2009 0:00,21100
2/22/2009 0:00,21700
2/23/2009 0:00,20800
2/24/2009 0:00,32200
2/25/2009 0:00,50400
2/26/2009 0:00,20900
2/27/2009 0:00,21000
2/28/2009 0:00,21300
3/1/2009 0:00,20900
3/2/2009 0:00,21700
3/3/2009 0:00,32300
3/4/2009 0:00,51200
3/5/2009 0:00,21200
3/6/2009 0:00,24300
3/7/2009 0:00,36100
3/8/2009 0:00,22600
3/9/2009 0:00,21100
3/10/2009 0:00,34100
3/11/2009 0:00,46000
3/12/2009 0:00,22100
3/13/2009 0:00,27900
3/14/2009 0:00,35900
3/15/2009 0:00,21700
3/16/2009 0:00,22300
3/17/2009 0:00,35200
3/18/2009 0:00,47600
3/19/2009 0:00,22000
3/20/2009 0:00,26400
3/21/2009 0:00,40600
3/22/2009 0:00,22300
3/23/2009 0:00,22000
3/24/2009 0:00,29400
3/25/2009 0:00,47600
3/26/2009 0:00,21900
3/27/2009 0:00,27200
3/28/2009 0:00,40400
3/29/2009 0:00,22600
3/30/2009 0:00,22300
3/31/2009 0:00,31800
4/1/2009 0:00,48100
4/2/2009 0:00,22400
4/3/2009 0:00,27800
4/4/2009 0:00,36300
4/5/2009 0:00,16400
4/6/2009 0:00,16400
4/7/2009 0:00,25200
4/8/2009 0:00,42300
4/9/2009 0:00,16400
4/10/2009 0:00,21800
4/11/2009 0:00,34800
4/12/2009 0:00,16400
4/13/2009 0:00,16600
4/14/2009 0:00,24600
4/15/2009 0:00,42900
4/16/2009 0:00,16400
4/17/2009 0:00,21700
4/18/2009 0:00,36500
4/19/2009 0:00,16900
