DateTime,Water ( Gallons )
2/14/2009 0:00,6600
2/15/2009 0:00,5600
2/16/2009 0:00,5900
2/17/2009 0:00,8300
2/18/2009 0:00,7800
2/19/2009 0:00,8900
2/20/2009 0:00,9900
2/21/2009 0:00,8800
2/22/2009 0:00,4900
2/23/2009 0:00,5800
2/24/2009 0:00,8000
2/25/2009 0:00,6300
2/26/2009 0:00,7600
2/27/2009 0:00,7100
2/28/2009 0:00,7800
3/1/2009 0:00,5100
3/2/2009 0:00,5400
3/3/2009 0:00,8300
3/4/2009 0:00,8000
3/5/2009 0:00,7200
3/6/2009 0:00,7100
3/7/2009 0:00,7400
3/8/2009 0:00,5500
3/9/2009 0:00,3100
3/10/2009 0:00,6400
3/11/2009 0:00,7000
3/12/2009 0:00,7000
3/13/2009 0:00,8100
3/14/2009 0:00,7500
3/15/2009 0:00,3800
3/16/2009 0:00,2700
3/17/2009 0:00,4500
3/18/2009 0:00,5000
3/19/2009 0:00,6100
3/20/2009 0:00,4400
3/21/2009 0:00,4000
3/22/2009 0:00,2200
3/23/2009 0:00,3100
3/24/2009 0:00,6700
3/25/2009 0:00,8500
3/26/2009 0:00,8400
3/27/2009 0:00,7400
3/28/2009 0:00,8900
3/29/2009 0:00,5000
3/30/2009 0:00,4200
3/31/2009 0:00,6400
4/1/2009 0:00,8100
4/2/2009 0:00,9800
4/3/2009 0:00,8400
4/4/2009 0:00,8000
4/5/2009 0:00,2900
4/6/2009 0:00,4000
4/7/2009 0:00,8800
4/8/2009 0:00,8700
4/9/2009 0:00,8100
4/10/2009 0:00,7000
4/11/2009 0:00,6500
4/12/2009 0:00,3200
4/13/2009 0:00,3200
4/14/2009 0:00,7200
4/15/2009 0:00,9100
4/16/2009 0:00,7900
4/17/2009 0:00,7800
4/18/2009 0:00,7400
4/19/2009 0:00,3300
4/20/2009 0:00,3200
4/21/2009 0:00,6400
4/22/2009 0:00,7900
4/23/2009 0:00,8900
4/24/2009 0:00,6400
4/25/2009 0:00,5300
4/26/2009 0:00,3800
4/27/2009 0:00,3500
4/28/2009 0:00,5700
4/29/2009 0:00,6100
4/30/2009 0:00,5700
5/1/2009 0:00,5800
5/2/2009 0:00,5600
5/3/2009 0:00,3300
5/4/2009 0:00,2600
5/5/2009 0:00,7100
5/6/2009 0:00,7000
5/7/2009 0:00,6400
5/8/2009 0:00,6200
5/9/2009 0:00,5800
5/10/2009 0:00,4500
5/11/2009 0:00,4700
5/12/2009 0:00,6900
5/13/2009 0:00,6900
5/14/2009 0:00,6500
5/15/2009 0:00,8400
5/16/2009 0:00,7600
5/17/2009 0:00,3100
5/18/2009 0:00,3200
5/19/2009 0:00,7100
5/20/2009 0:00,4900
5/21/2009 0:00,6500
5/22/2009 0:00,6500
5/23/2009 0:00,6700
5/24/2009 0:00,5100
5/25/2009 0:00,4900
5/26/2009 0:00,5900
5/27/2009 0:00,7000
5/28/2009 0:00,6000
5/29/2009 0:00,6600
5/30/2009 0:00,7100
5/31/2009 0:00,4600
6/1/2009 0:00,4500
6/2/2009 0:00,6000
6/3/2009 0:00,5600
6/4/2009 0:00,7600
6/5/2009 0:00,7200
6/6/2009 0:00,5600
6/7/2009 0:00,4100
6/8/2009 0:00,4600
6/9/2009 0:00,5800
6/10/2009 0:00,7800
6/11/2009 0:00,7600
6/12/2009 0:00,10000
6/13/2009 0:00,6600
6/14/2009 0:00,3100
6/15/2009 0:00,3200
6/16/2009 0:00,7400
6/17/2009 0:00,7200
6/18/2009 0:00,6500
6/19/2009 0:00,5400
6/20/2009 0:00,5600
6/21/2009 0:00,3100
6/22/2009 0:00,2800
6/24/2009 0:00,5800
6/25/2009 0:00,6100
6/26/2009 0:00,4100
6/27/2009 0:00,5400
6/28/2009 0:00,3200
6/29/2009 0:00,3200
6/30/2009 0:00,5300
