DateTime,Water ( Gallons )
3/2/2014 0:00,1220
3/3/2014 0:00,758
3/4/2014 0:00,1792
3/5/2014 0:00,1689
3/6/2014 0:00,2012
3/7/2014 0:00,1944
3/8/2014 0:00,1536
3/9/2014 0:00,745
3/10/2014 0:00,661
3/11/2014 0:00,1270
3/12/2014 0:00,1072
3/13/2014 0:00,1028
3/14/2014 0:00,1272
3/15/2014 0:00,1141
3/16/2014 0:00,773
3/17/2014 0:00,721
3/18/2014 0:00,1913
3/19/2014 0:00,2198
3/20/2014 0:00,2013
3/21/2014 0:00,1959
3/22/2014 0:00,1753
3/23/2014 0:00,917
3/24/2014 0:00,806
3/25/2014 0:00,2008
3/26/2014 0:00,2177
3/27/2014 0:00,1926
3/28/2014 0:00,1985
3/29/2014 0:00,1813
3/30/2014 0:00,890
3/31/2014 0:00,735
4/1/2014 0:00,2058
4/2/2014 0:00,2046
4/3/2014 0:00,1959
4/4/2014 0:00,1340
4/5/2014 0:00,1665
4/6/2014 0:00,846
4/7/2014 0:00,727
4/8/2014 0:00,1836
4/9/2014 0:00,1961
4/10/2014 0:00,1928
4/11/2014 0:00,1939
4/12/2014 0:00,1629
4/13/2014 0:00,932
4/14/2014 0:00,765
4/15/2014 0:00,1821
4/16/2014 0:00,2118
4/17/2014 0:00,1980
4/18/2014 0:00,2069
4/19/2014 0:00,1676
4/20/2014 0:00,837
4/21/2014 0:00,718
4/22/2014 0:00,1979
4/23/2014 0:00,2022
4/24/2014 0:00,1916
4/25/2014 0:00,1873
4/26/2014 0:00,1547
4/27/2014 0:00,1438
4/28/2014 0:00,1144
4/29/2014 0:00,1950
4/30/2014 0:00,2000
5/1/2014 0:00,1999
5/2/2014 0:00,2028
5/3/2014 0:00,1638
5/4/2014 0:00,768
5/5/2014 0:00,726
5/6/2014 0:00,1346
5/7/2014 0:00,1520
5/8/2014 0:00,1392
5/9/2014 0:00,1546
5/10/2014 0:00,1433
5/11/2014 0:00,1040
5/12/2014 0:00,740
5/13/2014 0:00,1433
5/14/2014 0:00,1258
5/15/2014 0:00,1159
5/16/2014 0:00,1207
5/17/2014 0:00,1292
5/18/2014 0:00,2995
5/19/2014 0:00,1207
5/20/2014 0:00,1301
5/21/2014 0:00,1081
5/22/2014 0:00,1158
5/23/2014 0:00,1133
5/24/2014 0:00,1082
5/25/2014 0:00,723
5/26/2014 0:00,700
5/27/2014 0:00,702
5/28/2014 0:00,1170
5/29/2014 0:00,1174
5/30/2014 0:00,1116
5/31/2014 0:00,1205
6/1/2014 0:00,727
6/2/2014 0:00,692
6/3/2014 0:00,1251
6/4/2014 0:00,1214
6/5/2014 0:00,1389
6/6/2014 0:00,1357
6/7/2014 0:00,1403
6/8/2014 0:00,763
6/9/2014 0:00,849
6/10/2014 0:00,1526
6/11/2014 0:00,1534
6/12/2014 0:00,1613
6/13/2014 0:00,1447
6/14/2014 0:00,1540
6/15/2014 0:00,795
6/16/2014 0:00,743
6/17/2014 0:00,1447
6/18/2014 0:00,1534
6/19/2014 0:00,1455
6/20/2014 0:00,1467
6/21/2014 0:00,1342
6/22/2014 0:00,757
6/23/2014 0:00,735
6/24/2014 0:00,1414
6/25/2014 0:00,1448
6/26/2014 0:00,1505
6/27/2014 0:00,1549
6/28/2014 0:00,1336
6/29/2014 0:00,743
6/30/2014 0:00,713
7/1/2014 0:00,1328
7/2/2014 0:00,1404
7/3/2014 0:00,1284
7/4/2014 0:00,1466
7/5/2014 0:00,646
7/6/2014 0:00,670
7/7/2014 0:00,658
7/8/2014 0:00,1271
7/9/2014 0:00,1292
7/10/2014 0:00,1485
7/11/2014 0:00,1573
7/12/2014 0:00,1371
7/13/2014 0:00,1098
7/14/2014 0:00,4077
7/15/2014 0:00,1818
7/16/2014 0:00,1600
7/17/2014 0:00,1345
7/18/2014 0:00,1322
7/19/2014 0:00,1878
7/20/2014 0:00,762
7/21/2014 0:00,743
7/22/2014 0:00,1311
7/23/2014 0:00,1355
7/24/2014 0:00,1435
7/25/2014 0:00,1582
7/26/2014 0:00,1452
7/27/2014 0:00,777
7/28/2014 0:00,757
7/29/2014 0:00,1329
7/30/2014 0:00,1465
7/31/2014 0:00,1473
8/1/2014 0:00,1345
8/2/2014 0:00,1578
8/3/2014 0:00,1182
8/4/2014 0:00,806
8/5/2014 0:00,1340
8/6/2014 0:00,1486
8/7/2014 0:00,1375
8/8/2014 0:00,1380
8/9/2014 0:00,1380
8/10/2014 0:00,780
8/11/2014 0:00,767
8/12/2014 0:00,1346
8/13/2014 0:00,1491
8/14/2014 0:00,1408
8/15/2014 0:00,1425
8/16/2014 0:00,1321
8/17/2014 0:00,763
8/18/2014 0:00,737
8/19/2014 0:00,1410
8/20/2014 0:00,1428
8/21/2014 0:00,1547
8/22/2014 0:00,1455
8/23/2014 0:00,1325
8/24/2014 0:00,807
8/25/2014 0:00,752
8/26/2014 0:00,1334
8/27/2014 0:00,1507
8/28/2014 0:00,2035
8/29/2014 0:00,2157
8/30/2014 0:00,1732
8/31/2014 0:00,759
9/1/2014 0:00,734
9/2/2014 0:00,768
9/3/2014 0:00,2198
9/4/2014 0:00,2695
9/5/2014 0:00,2789
9/6/2014 0:00,1990
9/7/2014 0:00,782
9/8/2014 0:00,781
9/9/2014 0:00,2040
9/10/2014 0:00,2187
9/11/2014 0:00,2187
9/12/2014 0:00,2209
9/13/2014 0:00,1872
9/14/2014 0:00,950
9/15/2014 0:00,1035
9/16/2014 0:00,2244
9/17/2014 0:00,2240
9/18/2014 0:00,2203
9/19/2014 0:00,2170
9/20/2014 0:00,1862
9/21/2014 0:00,992
9/22/2014 0:00,912
9/23/2014 0:00,912
9/24/2014 0:00,4362
9/25/2014 0:00,2237
9/26/2014 0:00,2199
9/27/2014 0:00,1815
9/28/2014 0:00,849
9/29/2014 0:00,795
9/30/2014 0:00,2030
10/1/2014 0:00,2211
10/2/2014 0:00,2098
10/3/2014 0:00,2177
10/4/2014 0:00,1824
10/5/2014 0:00,902
10/6/2014 0:00,1000
10/7/2014 0:00,2094
10/8/2014 0:00,2111
10/9/2014 0:00,2195
10/10/2014 0:00,2152
10/11/2014 0:00,1682
10/12/2014 0:00,817
10/13/2014 0:00,807
10/14/2014 0:00,2127
10/15/2014 0:00,2915
10/16/2014 0:00,2914
10/17/2014 0:00,2529
10/18/2014 0:00,1943
10/19/2014 0:00,982
10/20/2014 0:00,919
10/21/2014 0:00,2270
10/22/2014 0:00,2322
10/23/2014 0:00,2223
10/24/2014 0:00,2304
10/25/2014 0:00,2304
10/26/2014 0:00,0
10/27/2014 0:00,0
10/28/2014 0:00,6147
10/29/2014 0:00,2422
10/30/2014 0:00,2256
10/31/2014 0:00,2276
11/1/2014 0:00,1923
11/2/2014 0:00,886
11/3/2014 0:00,914
11/4/2014 0:00,1990
11/5/2014 0:00,2046
11/6/2014 0:00,2046
11/7/2014 0:00,2244
11/8/2014 0:00,1826
11/9/2014 0:00,1036
11/10/2014 0:00,974
11/11/2014 0:00,2141
11/12/2014 0:00,2116
11/13/2014 0:00,2037
11/14/2014 0:00,2150
11/15/2014 0:00,1778
11/16/2014 0:00,1078
11/17/2014 0:00,842
11/18/2014 0:00,1983
11/19/2014 0:00,2054
11/20/2014 0:00,2054
11/21/2014 0:00,2171
11/22/2014 0:00,1792
11/23/2014 0:00,859
11/24/2014 0:00,784
11/25/2014 0:00,1855
11/26/2014 0:00,1853
11/27/2014 0:00,1136
11/28/2014 0:00,652
11/29/2014 0:00,667
11/30/2014 0:00,697
12/1/2014 0:00,717
12/2/2014 0:00,1746
12/3/2014 0:00,2000
12/4/2014 0:00,2056
12/5/2014 0:00,2160
12/6/2014 0:00,1918
12/7/2014 0:00,976
12/8/2014 0:00,817
12/9/2014 0:00,1403
12/10/2014 0:00,1590
12/11/2014 0:00,1587
12/12/2014 0:00,1610
12/13/2014 0:00,1482
12/14/2014 0:00,1034
12/15/2014 0:00,854
12/16/2014 0:00,1342
12/17/2014 0:00,1250
12/18/2014 0:00,1131
12/19/2014 0:00,1076
12/20/2014 0:00,947
12/21/2014 0:00,714
12/22/2014 0:00,707
12/23/2014 0:00,781
12/24/2014 0:00,761
12/25/2014 0:00,690
12/26/2014 0:00,689
12/27/2014 0:00,722
12/28/2014 0:00,718
12/29/2014 0:00,703
12/30/2014 0:00,756
12/31/2014 0:00,759
1/1/2015 0:00,716
1/2/2015 0:00,687
1/3/2015 0:00,1094
1/4/2015 0:00,719
1/5/2015 0:00,709
1/6/2015 0:00,709
1/7/2015 0:00,1039
1/8/2015 0:00,1097
1/9/2015 0:00,1037
1/10/2015 0:00,1021
1/11/2015 0:00,711
1/12/2015 0:00,708
1/13/2015 0:00,1211
1/14/2015 0:00,1168
1/15/2015 0:00,1209
1/16/2015 0:00,1180
1/17/2015 0:00,1209
1/18/2015 0:00,722
1/19/2015 0:00,723
1/20/2015 0:00,855
1/21/2015 0:00,2109
1/22/2015 0:00,1916
1/23/2015 0:00,1883
1/24/2015 0:00,1566
1/25/2015 0:00,765
1/26/2015 0:00,761
1/27/2015 0:00,1929
1/28/2015 0:00,2080
1/29/2015 0:00,2031
1/30/2015 0:00,1968
1/31/2015 0:00,1724
2/1/2015 0:00,833
2/2/2015 0:00,739
2/3/2015 0:00,1901
2/4/2015 0:00,2039
2/5/2015 0:00,2376
2/6/2015 0:00,2007
2/7/2015 0:00,1666
2/8/2015 0:00,931
2/9/2015 0:00,905
2/10/2015 0:00,2412
2/11/2015 0:00,2184
2/12/2015 0:00,2242
2/13/2015 0:00,2113
2/14/2015 0:00,1732
2/15/2015 0:00,724
2/16/2015 0:00,721
2/17/2015 0:00,1891
2/18/2015 0:00,1891
2/19/2015 0:00,2222
2/20/2015 0:00,2072
2/21/2015 0:00,1728
2/22/2015 0:00,873
2/23/2015 0:00,767
2/24/2015 0:00,1982
2/25/2015 0:00,1790
2/26/2015 0:00,2118
2/27/2015 0:00,1984
2/28/2015 0:00,1715
3/1/2015 0:00,762
