DateTime,Water ( Gallons )
12/11/2010 0:00,6208
12/12/2010 0:00,1242
12/13/2010 0:00,678
12/14/2010 0:00,2695
12/15/2010 0:00,6604
12/16/2010 0:00,1799
12/17/2010 0:00,2790
12/18/2010 0:00,4576
12/19/2010 0:00,157
12/20/2010 0:00,141
12/21/2010 0:00,1387
12/22/2010 0:00,5479
12/23/2010 0:00,992
12/24/2010 0:00,760
12/25/2010 0:00,72
12/26/2010 0:00,7
12/27/2010 0:00,89
12/28/2010 0:00,114
12/29/2010 0:00,111
12/30/2010 0:00,111
12/31/2010 0:00,132
1/1/2011 0:00,88
1/2/2011 0:00,40
1/3/2011 0:00,62
1/4/2011 0:00,1447
1/5/2011 0:00,5632
1/6/2011 0:00,1358
1/7/2011 0:00,2565
1/8/2011 0:00,4480
1/9/2011 0:00,189
1/10/2011 0:00,163
1/11/2011 0:00,1832
1/12/2011 0:00,6194
1/13/2011 0:00,1454
1/14/2011 0:00,2727
1/15/2011 0:00,4716
1/16/2011 0:00,372
1/17/2011 0:00,224
1/18/2011 0:00,522
1/19/2011 0:00,8136
1/20/2011 0:00,3465
1/21/2011 0:00,4696
1/22/2011 0:00,5886
1/23/2011 0:00,311
1/24/2011 0:00,395
1/25/2011 0:00,3954
1/26/2011 0:00,8113
1/27/2011 0:00,3891
1/28/2011 0:00,4901
1/29/2011 0:00,5688
1/30/2011 0:00,323
1/31/2011 0:00,544
2/1/2011 0:00,4087
2/2/2011 0:00,8425
2/3/2011 0:00,3785
2/4/2011 0:00,3723
2/5/2011 0:00,158
2/6/2011 0:00,515
2/7/2011 0:00,511
2/8/2011 0:00,4192
2/9/2011 0:00,4377
2/10/2011 0:00,3886
2/11/2011 0:00,3875
2/12/2011 0:00,2617
2/13/2011 0:00,428
2/14/2011 0:00,819
2/15/2011 0:00,4117
2/16/2011 0:00,8611
2/17/2011 0:00,4235
2/18/2011 0:00,5422
2/19/2011 0:00,5760
2/20/2011 0:00,734
2/21/2011 0:00,1032
2/22/2011 0:00,4399
2/23/2011 0:00,8985
2/24/2011 0:00,4219
2/25/2011 0:00,5285
2/26/2011 0:00,5738
2/27/2011 0:00,597
2/28/2011 0:00,778
3/1/2011 0:00,4268
3/2/2011 0:00,8426
3/3/2011 0:00,4225
3/4/2011 0:00,5178
3/5/2011 0:00,5876
3/6/2011 0:00,1112
3/7/2011 0:00,900
3/8/2011 0:00,4017
3/9/2011 0:00,8598
3/10/2011 0:00,3970
3/11/2011 0:00,4340
3/12/2011 0:00,5116
3/13/2011 0:00,199
3/14/2011 0:00,195
3/15/2011 0:00,1550
3/16/2011 0:00,4411
3/17/2011 0:00,2477
3/18/2011 0:00,1349
3/19/2011 0:00,5665
3/20/2011 0:00,315
3/21/2011 0:00,410
3/22/2011 0:00,3928
3/23/2011 0:00,7292
3/24/2011 0:00,5411
3/25/2011 0:00,4136
3/26/2011 0:00,7030
3/27/2011 0:00,705
3/28/2011 0:00,785
3/29/2011 0:00,4413
3/30/2011 0:00,7666
3/31/2011 0:00,5588
4/1/2011 0:00,4192
4/2/2011 0:00,7179
4/3/2011 0:00,771
4/4/2011 0:00,1122
4/5/2011 0:00,4404
4/6/2011 0:00,7622
4/7/2011 0:00,5466
4/8/2011 0:00,4175
4/9/2011 0:00,7068
4/10/2011 0:00,634
4/11/2011 0:00,966
4/12/2011 0:00,4571
4/13/2011 0:00,7833
4/14/2011 0:00,5586
4/15/2011 0:00,3834
4/16/2011 0:00,6944
4/17/2011 0:00,674
4/18/2011 0:00,949
4/19/2011 0:00,4146
4/20/2011 0:00,6769
4/21/2011 0:00,5537
4/22/2011 0:00,3928
4/23/2011 0:00,6557
4/24/2011 0:00,372
4/25/2011 0:00,587
4/26/2011 0:00,4467
4/27/2011 0:00,7471
4/28/2011 0:00,5483
4/29/2011 0:00,4097
4/30/2011 0:00,7134
5/1/2011 0:00,531
5/2/2011 0:00,1006
5/3/2011 0:00,4181
5/4/2011 0:00,7690
5/5/2011 0:00,5809
5/6/2011 0:00,4112
5/7/2011 0:00,7466
5/8/2011 0:00,768
5/9/2011 0:00,693
5/10/2011 0:00,2912
5/11/2011 0:00,6475
5/12/2011 0:00,4806
5/13/2011 0:00,3602
5/14/2011 0:00,7381
5/15/2011 0:00,1054
5/16/2011 0:00,817
5/17/2011 0:00,2393
5/18/2011 0:00,5197
5/19/2011 0:00,3032
5/20/2011 0:00,1684
5/21/2011 0:00,6211
