DateTime,Water ( Gallons )
12/6/2012 0:00,2000
12/7/2012 0:00,3000
12/8/2012 0:00,5300
12/9/2012 0:00,2700
12/10/2012 0:00,3000
12/11/2012 0:00,4100
12/12/2012 0:00,2500
12/13/2012 0:00,2700
12/14/2012 0:00,2700
12/15/2012 0:00,2700
12/16/2012 0:00,10200
12/17/2012 0:00,1800
12/18/2012 0:00,6100
12/19/2012 0:00,10300
12/20/2012 0:00,2900
12/21/2012 0:00,5900
12/22/2012 0:00,8900
12/23/2012 0:00,2700
12/24/2012 0:00,2300
12/25/2012 0:00,2300
12/26/2012 0:00,2600
12/27/2012 0:00,8700
12/28/2012 0:00,12400
12/29/2012 0:00,16200
12/30/2012 0:00,11200
12/31/2012 0:00,10900
1/1/2013 0:00,11100
1/2/2013 0:00,10600
1/3/2013 0:00,11500
1/4/2013 0:00,12100
1/5/2013 0:00,11600
1/6/2013 0:00,10700
1/7/2013 0:00,10400
1/8/2013 0:00,11900
1/9/2013 0:00,11800
1/10/2013 0:00,6900
1/11/2013 0:00,11000
1/12/2013 0:00,4600
1/13/2013 0:00,5900
1/14/2013 0:00,6500
1/15/2013 0:00,8400
1/16/2013 0:00,10800
1/17/2013 0:00,12200
1/18/2013 0:00,26300
1/19/2013 0:00,10800
1/20/2013 0:00,600
1/21/2013 0:00,500
1/22/2013 0:00,4400
1/23/2013 0:00,11600
1/24/2013 0:00,15900
1/25/2013 0:00,12500
1/26/2013 0:00,9300
1/27/2013 0:00,6400
1/28/2013 0:00,6000
1/29/2013 0:00,11000
1/30/2013 0:00,10300
1/31/2013 0:00,12500
2/1/2013 0:00,10800
2/2/2013 0:00,11400
2/3/2013 0:00,6600
2/4/2013 0:00,5700
2/5/2013 0:00,10800
2/6/2013 0:00,10800
2/7/2013 0:00,10700
2/8/2013 0:00,26500
2/9/2013 0:00,9200
2/10/2013 0:00,53100
2/11/2013 0:00,54700
2/12/2013 0:00,29900
2/13/2013 0:00,49400
2/14/2013 0:00,28100
2/15/2013 0:00,10400
2/16/2013 0:00,9300
2/17/2013 0:00,6200
2/18/2013 0:00,5800
2/19/2013 0:00,10400
2/20/2013 0:00,10000
2/21/2013 0:00,10100
2/22/2013 0:00,10300
2/23/2013 0:00,9300
2/24/2013 0:00,6300
2/25/2013 0:00,37600
2/26/2013 0:00,42100
2/27/2013 0:00,41900
2/28/2013 0:00,41800
3/1/2013 0:00,42700
3/2/2013 0:00,27900
3/3/2013 0:00,6500
3/4/2013 0:00,5400
3/5/2013 0:00,9800
3/6/2013 0:00,9600
3/7/2013 0:00,9600
3/8/2013 0:00,9600
3/9/2013 0:00,7600
3/10/2013 0:00,5200
3/11/2013 0:00,2800
3/12/2013 0:00,2700
3/13/2013 0:00,3800
3/14/2013 0:00,5200
3/15/2013 0:00,4400
3/16/2013 0:00,4600
3/17/2013 0:00,3700
3/18/2013 0:00,3500
3/19/2013 0:00,7700
3/20/2013 0:00,7900
3/21/2013 0:00,7800
3/22/2013 0:00,7700
3/23/2013 0:00,6900
3/24/2013 0:00,4000
3/25/2013 0:00,3600
3/26/2013 0:00,7900
3/27/2013 0:00,7500
3/28/2013 0:00,8200
3/29/2013 0:00,7700
3/30/2013 0:00,6300
3/31/2013 0:00,3700
4/1/2013 0:00,3700
4/2/2013 0:00,7900
4/3/2013 0:00,6400
4/4/2013 0:00,5000
4/5/2013 0:00,4900
4/6/2013 0:00,3800
4/7/2013 0:00,1300
4/8/2013 0:00,600
4/9/2013 0:00,5200
4/10/2013 0:00,5100
4/11/2013 0:00,4700
4/12/2013 0:00,4200
4/13/2013 0:00,3400
4/14/2013 0:00,1100
4/15/2013 0:00,1500
4/16/2013 0:00,6400
4/17/2013 0:00,6400
4/18/2013 0:00,6400
4/19/2013 0:00,6100
4/20/2013 0:00,3900
4/21/2013 0:00,900
4/22/2013 0:00,700
4/23/2013 0:00,6200
4/24/2013 0:00,6700
4/25/2013 0:00,6300
4/26/2013 0:00,7900
4/27/2013 0:00,5700
4/28/2013 0:00,800
4/29/2013 0:00,800
4/30/2013 0:00,6500
5/1/2013 0:00,6400
5/2/2013 0:00,7400
5/3/2013 0:00,8100
5/4/2013 0:00,5200
5/5/2013 0:00,800
5/6/2013 0:00,900
5/7/2013 0:00,5100
5/8/2013 0:00,5600
5/9/2013 0:00,4800
5/10/2013 0:00,8100
5/11/2013 0:00,4800
5/12/2013 0:00,1300
5/13/2013 0:00,800
5/14/2013 0:00,4900
5/15/2013 0:00,5300
5/16/2013 0:00,4800
5/17/2013 0:00,7400
5/18/2013 0:00,5000
5/19/2013 0:00,1100
5/20/2013 0:00,1100
5/21/2013 0:00,6000
5/22/2013 0:00,7300
5/23/2013 0:00,6100
5/24/2013 0:00,8800
5/25/2013 0:00,5500
5/26/2013 0:00,600
5/27/2013 0:00,400
5/28/2013 0:00,600
5/29/2013 0:00,1800
5/30/2013 0:00,2100
5/31/2013 0:00,4600
6/1/2013 0:00,5400
6/2/2013 0:00,1000
6/3/2013 0:00,600
6/4/2013 0:00,4800
6/5/2013 0:00,6000
6/6/2013 0:00,5800
6/7/2013 0:00,8800
6/8/2013 0:00,6100
6/9/2013 0:00,1600
6/10/2013 0:00,1900
6/11/2013 0:00,4200
6/12/2013 0:00,2800
6/13/2013 0:00,5800
6/14/2013 0:00,56400
6/15/2013 0:00,52500
6/16/2013 0:00,4400
6/17/2013 0:00,1500
6/18/2013 0:00,6100
6/19/2013 0:00,7400
6/20/2013 0:00,9800
6/21/2013 0:00,5400
6/22/2013 0:00,6600
6/23/2013 0:00,1600
6/24/2013 0:00,1400
6/25/2013 0:00,6100
6/26/2013 0:00,5700
6/27/2013 0:00,4500
6/28/2013 0:00,7600
6/29/2013 0:00,5300
6/30/2013 0:00,500
7/1/2013 0:00,400
7/2/2013 0:00,4900
7/3/2013 0:00,5100
7/4/2013 0:00,4700
7/5/2013 0:00,5500
7/6/2013 0:00,4600
7/7/2013 0:00,400
7/8/2013 0:00,500
7/9/2013 0:00,2600
7/10/2013 0:00,2500
7/11/2013 0:00,4900
7/12/2013 0:00,8700
7/13/2013 0:00,42700
