DateTime,Water ( Gallons )
11/9/2011 0:00,649
11/10/2011 0:00,611
11/11/2011 0:00,670
11/12/2011 0:00,400
11/13/2011 0:00,74
11/14/2011 0:00,126
11/15/2011 0:00,790
11/16/2011 0:00,643
11/17/2011 0:00,614
11/18/2011 0:00,601
11/19/2011 0:00,392
11/20/2011 0:00,109
11/21/2011 0:00,173
11/22/2011 0:00,685
11/23/2011 0:00,552
11/24/2011 0:00,268
11/25/2011 0:00,27
11/26/2011 0:00,49
11/27/2011 0:00,68
11/28/2011 0:00,83
11/29/2011 0:00,750
11/30/2011 0:00,741
12/1/2011 0:00,719
12/2/2011 0:00,675
12/3/2011 0:00,422
12/4/2011 0:00,105
12/5/2011 0:00,148
12/6/2011 0:00,414
12/7/2011 0:00,404
12/8/2011 0:00,474
12/9/2011 0:00,388
12/10/2011 0:00,388
12/11/2011 0:00,388
12/12/2011 0:00,388
12/13/2011 0:00,341
12/14/2011 0:00,334
12/15/2011 0:00,296
12/16/2011 0:00,260
12/17/2011 0:00,2900
12/18/2011 0:00,820
12/19/2011 0:00,560
12/20/2011 0:00,2990
12/21/2011 0:00,2560
12/22/2011 0:00,1990
12/23/2011 0:00,1820
12/24/2011 0:00,720
12/25/2011 0:00,460
12/26/2011 0:00,790
12/27/2011 0:00,630
12/28/2011 0:00,540
12/29/2011 0:00,870
12/30/2011 0:00,720
12/31/2011 0:00,500
1/1/2012 0:00,830
1/2/2012 0:00,640
1/3/2012 0:00,510
1/4/2012 0:00,2260
1/5/2012 0:00,2300
1/6/2012 0:00,2720
1/7/2012 0:00,3120
1/8/2012 0:00,740
1/9/2012 0:00,440
1/10/2012 0:00,2700
1/11/2012 0:00,2630
1/12/2012 0:00,2640
1/13/2012 0:00,2590
1/14/2012 0:00,2960
1/15/2012 0:00,1740
1/16/2012 0:00,900
1/17/2012 0:00,1760
1/18/2012 0:00,7060
1/19/2012 0:00,4970
1/20/2012 0:00,5800
1/21/2012 0:00,4200
1/22/2012 0:00,1210
1/23/2012 0:00,560
1/24/2012 0:00,6820
1/25/2012 0:00,6610
1/27/2012 0:00,6630
1/28/2012 0:00,4460
1/29/2012 0:00,920
1/30/2012 0:00,1790
1/31/2012 0:00,7320
2/1/2012 0:00,7430
2/2/2012 0:00,7200
2/3/2012 0:00,6540
2/4/2012 0:00,3800
2/5/2012 0:00,1110
2/6/2012 0:00,2400
2/7/2012 0:00,8200
2/8/2012 0:00,7550
2/9/2012 0:00,6980
2/10/2012 0:00,6600
2/11/2012 0:00,4400
2/12/2012 0:00,1610
2/13/2012 0:00,860
2/14/2012 0:00,6510
2/15/2012 0:00,7630
2/16/2012 0:00,7240
2/17/2012 0:00,6780
2/18/2012 0:00,4120
2/19/2012 0:00,820
2/20/2012 0:00,1500
2/21/2012 0:00,6970
2/22/2012 0:00,7150
2/23/2012 0:00,6830
2/24/2012 0:00,7130
2/25/2012 0:00,4860
2/26/2012 0:00,930
2/27/2012 0:00,2150
2/28/2012 0:00,8700
2/29/2012 0:00,7710
3/1/2012 0:00,6750
3/2/2012 0:00,7090
3/3/2012 0:00,4420
3/4/2012 0:00,3100
3/5/2012 0:00,2180
3/6/2012 0:00,8020
3/7/2012 0:00,8050
3/8/2012 0:00,6820
3/9/2012 0:00,5990
3/10/2012 0:00,3870
3/11/2012 0:00,820
3/12/2012 0:00,890
3/13/2012 0:00,2190
3/14/2012 0:00,3100
3/15/2012 0:00,3040
3/16/2012 0:00,1650
3/17/2012 0:00,2130
3/18/2012 0:00,1020
3/19/2012 0:00,700
3/20/2012 0:00,6110
3/21/2012 0:00,7060
3/22/2012 0:00,7140
3/23/2012 0:00,6690
3/24/2012 0:00,4300
3/25/2012 0:00,1160
3/26/2012 0:00,2010
3/27/2012 0:00,7170
3/28/2012 0:00,7470
3/29/2012 0:00,7620
3/30/2012 0:00,7080
3/31/2012 0:00,4170
4/1/2012 0:00,3730
4/2/2012 0:00,1670
4/3/2012 0:00,6660
4/4/2012 0:00,6820
4/5/2012 0:00,6190
4/6/2012 0:00,7350
4/7/2012 0:00,3890
4/8/2012 0:00,1020
4/9/2012 0:00,830
4/10/2012 0:00,6810
4/11/2012 0:00,7500
4/12/2012 0:00,6290
4/13/2012 0:00,6510
4/14/2012 0:00,4850
4/15/2012 0:00,1120
4/16/2012 0:00,1580
4/17/2012 0:00,6910
4/18/2012 0:00,7720
4/19/2012 0:00,6380
4/20/2012 0:00,6390
4/21/2012 0:00,4610
4/22/2012 0:00,1200
4/23/2012 0:00,2180
4/24/2012 0:00,8190
4/25/2012 0:00,8130
4/26/2012 0:00,5940
4/27/2012 0:00,6420
4/28/2012 0:00,6040
