DateTime,Water ( Gallons )
1/15/2009 0:00,700
1/16/2009 0:00,600
1/17/2009 0:00,700
1/18/2009 0:00,100
1/19/2009 0:00,100
1/20/2009 0:00,200
1/21/2009 0:00,500
1/22/2009 0:00,700
1/23/2009 0:00,700
1/24/2009 0:00,600
1/25/2009 0:00,200
1/26/2009 0:00,300
1/27/2009 0:00,800
1/28/2009 0:00,700
1/29/2009 0:00,700
1/30/2009 0:00,1000
1/31/2009 0:00,500
2/1/2009 0:00,200
2/2/2009 0:00,100
2/3/2009 0:00,800
2/4/2009 0:00,600
2/5/2009 0:00,600
2/6/2009 0:00,900
2/7/2009 0:00,500
2/8/2009 0:00,100
2/9/2009 0:00,100
2/10/2009 0:00,700
2/11/2009 0:00,800
2/12/2009 0:00,700
2/13/2009 0:00,700
2/14/2009 0:00,500
2/15/2009 0:00,200
2/16/2009 0:00,100
2/17/2009 0:00,900
2/18/2009 0:00,700
2/19/2009 0:00,700
2/20/2009 0:00,900
2/21/2009 0:00,600
2/22/2009 0:00,100
2/23/2009 0:00,200
2/24/2009 0:00,800
2/25/2009 0:00,600
2/26/2009 0:00,500
2/27/2009 0:00,800
2/28/2009 0:00,400
3/1/2009 0:00,100
3/2/2009 0:00,100
3/3/2009 0:00,900
3/4/2009 0:00,500
3/5/2009 0:00,800
3/6/2009 0:00,1000
3/7/2009 0:00,400
3/8/2009 0:00,200
3/9/2009 0:00,100
3/10/2009 0:00,500
3/11/2009 0:00,700
3/12/2009 0:00,500
3/13/2009 0:00,500
3/14/2009 0:00,500
3/15/2009 0:00,100
3/16/2009 0:00,100
3/17/2009 0:00,200
3/18/2009 0:00,300
3/19/2009 0:00,100
3/20/2009 0:00,500
3/21/2009 0:00,200
3/22/2009 0:00,0
3/23/2009 0:00,100
3/24/2009 0:00,700
3/25/2009 0:00,800
3/26/2009 0:00,700
3/27/2009 0:00,400
3/28/2009 0:00,300
3/29/2009 0:00,100
3/30/2009 0:00,100
3/31/2009 0:00,600
4/1/2009 0:00,600
4/2/2009 0:00,1100
4/3/2009 0:00,600
4/4/2009 0:00,500
4/5/2009 0:00,100
4/6/2009 0:00,100
4/7/2009 0:00,1200
4/8/2009 0:00,800
4/9/2009 0:00,800
4/10/2009 0:00,900
4/11/2009 0:00,300
4/12/2009 0:00,100
4/13/2009 0:00,100
4/14/2009 0:00,900
4/15/2009 0:00,700
4/16/2009 0:00,700
4/17/2009 0:00,1200
4/18/2009 0:00,2500
4/19/2009 0:00,2200
4/20/2009 0:00,2000
4/21/2009 0:00,2000
4/22/2009 0:00,800
4/23/2009 0:00,600
4/24/2009 0:00,800
4/25/2009 0:00,400
4/26/2009 0:00,100
4/27/2009 0:00,100
4/28/2009 0:00,700
4/29/2009 0:00,700
4/30/2009 0:00,600
5/1/2009 0:00,900
5/2/2009 0:00,400
5/3/2009 0:00,100
5/4/2009 0:00,100
5/5/2009 0:00,400
5/6/2009 0:00,500
5/7/2009 0:00,300
5/8/2009 0:00,500
5/9/2009 0:00,400
5/10/2009 0:00,100
5/11/2009 0:00,100
5/12/2009 0:00,300
5/13/2009 0:00,400
5/14/2009 0:00,300
5/15/2009 0:00,400
5/16/2009 0:00,400
5/17/2009 0:00,200
5/18/2009 0:00,0
5/19/2009 0:00,500
5/20/2009 0:00,500
5/21/2009 0:00,200
5/22/2009 0:00,400
5/23/2009 0:00,300
