DateTime,Water ( Gallons )
3/1/2011 0:00,4500
3/2/2011 0:00,4600
3/3/2011 0:00,4600
3/4/2011 0:00,4700
3/5/2011 0:00,4100
3/6/2011 0:00,3600
3/7/2011 0:00,4300
3/8/2011 0:00,4900
3/9/2011 0:00,4400
3/10/2011 0:00,4800
3/11/2011 0:00,4300
3/12/2011 0:00,3500
3/13/2011 0:00,1100
3/14/2011 0:00,700
3/15/2011 0:00,700
3/16/2011 0:00,600
3/17/2011 0:00,800
3/18/2011 0:00,1000
3/19/2011 0:00,900
3/20/2011 0:00,1200
3/21/2011 0:00,3500
3/22/2011 0:00,4600
3/23/2011 0:00,6000
3/24/2011 0:00,4600
3/25/2011 0:00,4300
3/26/2011 0:00,3800
3/27/2011 0:00,3900
3/28/2011 0:00,4300
3/29/2011 0:00,4600
3/30/2011 0:00,4500
3/31/2011 0:00,4300
4/1/2011 0:00,4800
4/2/2011 0:00,4400
4/3/2011 0:00,3800
4/4/2011 0:00,3800
4/5/2011 0:00,4900
4/6/2011 0:00,4500
4/7/2011 0:00,4600
4/8/2011 0:00,4400
4/9/2011 0:00,5600
4/10/2011 0:00,3300
4/11/2011 0:00,3800
4/12/2011 0:00,4600
4/13/2011 0:00,4500
4/14/2011 0:00,4700
4/15/2011 0:00,4200
4/16/2011 0:00,5700
4/17/2011 0:00,3700
4/18/2011 0:00,4000
4/19/2011 0:00,4600
4/20/2011 0:00,6200
4/21/2011 0:00,4400
4/22/2011 0:00,4500
4/23/2011 0:00,6300
4/24/2011 0:00,3700
4/25/2011 0:00,4200
4/26/2011 0:00,5400
4/27/2011 0:00,5900
4/28/2011 0:00,4600
4/29/2011 0:00,4500
4/30/2011 0:00,4800
5/1/2011 0:00,6400
5/2/2011 0:00,4400
5/3/2011 0:00,4500
5/4/2011 0:00,6500
5/5/2011 0:00,4900
5/6/2011 0:00,4300
5/7/2011 0:00,5400
5/8/2011 0:00,3500
5/9/2011 0:00,3500
5/10/2011 0:00,3700
5/11/2011 0:00,6300
5/12/2011 0:00,4100
5/13/2011 0:00,4000
5/14/2011 0:00,4000
5/15/2011 0:00,3300
5/16/2011 0:00,3300
5/17/2011 0:00,2700
5/18/2011 0:00,3500
5/19/2011 0:00,600
5/20/2011 0:00,400
5/21/2011 0:00,600
5/22/2011 0:00,400
5/23/2011 0:00,400
5/24/2011 0:00,700
5/25/2011 0:00,2300
5/26/2011 0:00,800
5/27/2011 0:00,700
5/28/2011 0:00,1900
5/29/2011 0:00,300
5/30/2011 0:00,0
5/31/2011 0:00,200
6/1/2011 0:00,3300
8/17/2011 0:00,0
8/18/2011 0:00,0
8/19/2011 0:00,0
8/20/2011 0:00,0
8/21/2011 0:00,0
8/22/2011 0:00,0
8/23/2011 0:00,100
8/24/2011 0:00,0
8/25/2011 0:00,100
8/26/2011 0:00,0
8/27/2011 0:00,100
8/28/2011 0:00,0
8/29/2011 0:00,0
8/30/2011 0:00,100
8/31/2011 0:00,0
9/1/2011 0:00,100
9/2/2011 0:00,0
9/3/2011 0:00,100
9/4/2011 0:00,100
9/5/2011 0:00,0
9/6/2011 0:00,0
9/7/2011 0:00,0
9/8/2011 0:00,100
9/9/2011 0:00,0
9/10/2011 0:00,100
9/11/2011 0:00,100
9/12/2011 0:00,0
9/13/2011 0:00,100
9/14/2011 0:00,0
9/15/2011 0:00,100
9/16/2011 0:00,100
9/17/2011 0:00,0
9/18/2011 0:00,100
9/19/2011 0:00,0
9/20/2011 0:00,100
9/21/2011 0:00,0
9/22/2011 0:00,100
9/23/2011 0:00,100
9/24/2011 0:00,0
9/25/2011 0:00,100
9/26/2011 0:00,0
9/27/2011 0:00,100
9/28/2011 0:00,0
9/29/2011 0:00,100
9/30/2011 0:00,0
10/1/2011 0:00,100
10/2/2011 0:00,0
10/3/2011 0:00,100
10/4/2011 0:00,0
10/5/2011 0:00,100
10/6/2011 0:00,100
10/7/2011 0:00,0
10/8/2011 0:00,100
10/9/2011 0:00,0
10/10/2011 0:00,0
10/11/2011 0:00,100
10/12/2011 0:00,100
10/13/2011 0:00,0
10/14/2011 0:00,1600
10/15/2011 0:00,0
10/16/2011 0:00,100
10/17/2011 0:00,0
10/18/2011 0:00,0
10/19/2011 0:00,100
10/20/2011 0:00,100
10/21/2011 0:00,0
10/22/2011 0:00,100
10/23/2011 0:00,0
10/24/2011 0:00,0
10/25/2011 0:00,100
10/26/2011 0:00,100
10/27/2011 0:00,0
10/28/2011 0:00,0
10/29/2011 0:00,100
10/30/2011 0:00,0
10/31/2011 0:00,100
11/1/2011 0:00,100
11/2/2011 0:00,0
11/3/2011 0:00,100
11/4/2011 0:00,100
11/5/2011 0:00,0
11/6/2011 0:00,100
11/7/2011 0:00,0
11/8/2011 0:00,100
11/9/2011 0:00,100
11/10/2011 0:00,0
11/11/2011 0:00,100
11/12/2011 0:00,100
11/13/2011 0:00,0
11/14/2011 0:00,100
11/15/2011 0:00,0
11/16/2011 0:00,100
11/17/2011 0:00,0
11/18/2011 0:00,100
11/19/2011 0:00,100
11/20/2011 0:00,0
11/21/2011 0:00,100
11/22/2011 0:00,0
11/23/2011 0:00,100
11/24/2011 0:00,0
11/25/2011 0:00,0
11/26/2011 0:00,0
11/27/2011 0:00,0
11/28/2011 0:00,0
11/29/2011 0:00,100
11/30/2011 0:00,0
12/1/2011 0:00,100
12/2/2011 0:00,100
12/3/2011 0:00,0
12/4/2011 0:00,100
12/5/2011 0:00,0
12/6/2011 0:00,100
12/7/2011 0:00,0
12/8/2011 0:00,100
12/9/2011 0:00,0
