DateTime,Water ( Gallons )
6/27/2009 0:00,800
6/28/2009 0:00,500
6/29/2009 0:00,400
6/30/2009 0:00,1500
7/1/2009 0:00,1400
7/2/2009 0:00,1800
7/3/2009 0:00,1800
7/4/2009 0:00,1300
7/5/2009 0:00,400
7/6/2009 0:00,700
7/7/2009 0:00,1500
7/8/2009 0:00,1600
7/9/2009 0:00,1700
7/10/2009 0:00,1800
7/11/2009 0:00,1000
7/12/2009 0:00,700
7/13/2009 0:00,500
7/14/2009 0:00,1700
7/15/2009 0:00,1900
7/16/2009 0:00,1900
7/17/2009 0:00,1800
7/18/2009 0:00,1100
7/19/2009 0:00,300
7/20/2009 0:00,400
7/21/2009 0:00,800
7/22/2009 0:00,900
7/23/2009 0:00,500
7/24/2009 0:00,900
7/25/2009 0:00,600
7/26/2009 0:00,300
7/27/2009 0:00,200
7/28/2009 0:00,1400
7/29/2009 0:00,2200
7/30/2009 0:00,1400
7/31/2009 0:00,1200
8/1/2009 0:00,500
8/2/2009 0:00,400
8/3/2009 0:00,200
8/4/2009 0:00,1000
8/5/2009 0:00,600
8/6/2009 0:00,600
8/7/2009 0:00,700
8/8/2009 0:00,500
8/9/2009 0:00,200
8/10/2009 0:00,200
8/11/2009 0:00,500
8/12/2009 0:00,400
8/13/2009 0:00,600
8/14/2009 0:00,400
8/15/2009 0:00,300
8/16/2009 0:00,200
8/17/2009 0:00,0
8/18/2009 0:00,2400
8/19/2009 0:00,6800
8/20/2009 0:00,10600
8/21/2009 0:00,11600
8/22/2009 0:00,14900
8/23/2009 0:00,11600
8/24/2009 0:00,11400
8/25/2009 0:00,5900
8/26/2009 0:00,400
8/27/2009 0:00,700
8/28/2009 0:00,900
8/29/2009 0:00,400
8/30/2009 0:00,200
8/31/2009 0:00,400
9/1/2009 0:00,700
9/2/2009 0:00,600
9/3/2009 0:00,700
9/4/2009 0:00,800
9/5/2009 0:00,600
9/6/2009 0:00,600
9/7/2009 0:00,400
9/8/2009 0:00,300
9/9/2009 0:00,800
9/10/2009 0:00,700
9/11/2009 0:00,700
9/12/2009 0:00,600
9/13/2009 0:00,200
9/14/2009 0:00,400
9/15/2009 0:00,700
9/16/2009 0:00,500
9/17/2009 0:00,1900
9/18/2009 0:00,2300
9/19/2009 0:00,1800
9/20/2009 0:00,2200
9/21/2009 0:00,1100
9/22/2009 0:00,1700
9/23/2009 0:00,1500
9/24/2009 0:00,1800
9/25/2009 0:00,1700
9/26/2009 0:00,1800
9/27/2009 0:00,1500
9/28/2009 0:00,1100
9/29/2009 0:00,900
9/30/2009 0:00,2300
10/1/2009 0:00,1800
10/2/2009 0:00,1100
10/3/2009 0:00,600
10/4/2009 0:00,300
10/5/2009 0:00,200
10/6/2009 0:00,800
10/7/2009 0:00,700
10/8/2009 0:00,600
10/9/2009 0:00,800
10/10/2009 0:00,600
10/11/2009 0:00,400
10/12/2009 0:00,300
10/13/2009 0:00,300
10/14/2009 0:00,300
10/15/2009 0:00,300
10/16/2009 0:00,300
10/17/2009 0:00,800
10/18/2009 0:00,700
10/19/2009 0:00,400
10/20/2009 0:00,900
10/21/2009 0:00,600
10/22/2009 0:00,600
10/23/2009 0:00,500
10/24/2009 0:00,700
10/25/2009 0:00,800
