DateTime,Water ( Gallons )
9/28/2009 0:00,1400
9/29/2009 0:00,1700
9/30/2009 0:00,1800
10/1/2009 0:00,1700
10/2/2009 0:00,1700
10/3/2009 0:00,2100
10/4/2009 0:00,1200
10/5/2009 0:00,1400
10/6/2009 0:00,1300
10/7/2009 0:00,1800
10/8/2009 0:00,1800
10/9/2009 0:00,1800
10/10/2009 0:00,1700
10/11/2009 0:00,1400
10/12/2009 0:00,1200
10/13/2009 0:00,1300
10/14/2009 0:00,1300
10/15/2009 0:00,1300
10/16/2009 0:00,1300
10/17/2009 0:00,2000
10/18/2009 0:00,1300
10/19/2009 0:00,1200
10/20/2009 0:00,1300
10/21/2009 0:00,1900
10/22/2009 0:00,1900
10/23/2009 0:00,1800
10/24/2009 0:00,1700
10/25/2009 0:00,1700
10/28/2009 0:00,2000
10/29/2009 0:00,2300
10/30/2009 0:00,1900
10/31/2009 0:00,1900
11/1/2009 0:00,1300
11/2/2009 0:00,1500
11/3/2009 0:00,1600
11/4/2009 0:00,1900
11/5/2009 0:00,2000
11/6/2009 0:00,1900
11/7/2009 0:00,2400
11/8/2009 0:00,1400
11/9/2009 0:00,1300
11/10/2009 0:00,1300
11/11/2009 0:00,2000
11/12/2009 0:00,1800
11/13/2009 0:00,2300
11/14/2009 0:00,2000
11/15/2009 0:00,1600
11/16/2009 0:00,1700
11/17/2009 0:00,1300
11/19/2009 0:00,3900
11/20/2009 0:00,1900
11/21/2009 0:00,2200
11/22/2009 0:00,1500
11/23/2009 0:00,1300
11/24/2009 0:00,1800
11/25/2009 0:00,1900
11/26/2009 0:00,1800
11/27/2009 0:00,1300
11/28/2009 0:00,1600
11/29/2009 0:00,1400
11/30/2009 0:00,1300
12/1/2009 0:00,1300
12/2/2009 0:00,2000
12/3/2009 0:00,2100
12/4/2009 0:00,2100
12/5/2009 0:00,2100
12/6/2009 0:00,1700
12/7/2009 0:00,1600
12/8/2009 0:00,1800
12/9/2009 0:00,2000
12/10/2009 0:00,2000
12/11/2009 0:00,2000
12/12/2009 0:00,1900
12/13/2009 0:00,1600
12/14/2009 0:00,1400
12/15/2009 0:00,1400
12/16/2009 0:00,1800
12/17/2009 0:00,1800
12/18/2009 0:00,2000
12/19/2009 0:00,2100
12/20/2009 0:00,1500
12/21/2009 0:00,1600
12/22/2009 0:00,1900
12/23/2009 0:00,1600
12/24/2009 0:00,1600
12/25/2009 0:00,1700
12/26/2009 0:00,1600
12/27/2009 0:00,1800
12/28/2009 0:00,1300
12/29/2009 0:00,1100
12/30/2009 0:00,1300
12/31/2009 0:00,1300
1/1/2010 0:00,1300
1/2/2010 0:00,1100
1/3/2010 0:00,1300
1/4/2010 0:00,1400
1/5/2010 0:00,1400
1/6/2010 0:00,1900
1/7/2010 0:00,1800
1/8/2010 0:00,1800
1/9/2010 0:00,1800
1/10/2010 0:00,1400
1/11/2010 0:00,1300
1/12/2010 0:00,1600
1/13/2010 0:00,2100
1/14/2010 0:00,1900
1/15/2010 0:00,2100
1/16/2010 0:00,1800
1/17/2010 0:00,1400
1/18/2010 0:00,1600
1/19/2010 0:00,1400
1/20/2010 0:00,1900
1/21/2010 0:00,2000
1/22/2010 0:00,2400
1/23/2010 0:00,2200
1/24/2010 0:00,1800
1/25/2010 0:00,1500
1/26/2010 0:00,1500
1/27/2010 0:00,2100
1/28/2010 0:00,2300
1/29/2010 0:00,2200
1/30/2010 0:00,2200
1/31/2010 0:00,1700
2/1/2010 0:00,1500
2/2/2010 0:00,1400
2/3/2010 0:00,2400
2/4/2010 0:00,1800
2/5/2010 0:00,1000
2/6/2010 0:00,2300
2/7/2010 0:00,2000
2/8/2010 0:00,1800
2/9/2010 0:00,1700
2/10/2010 0:00,2300
2/11/2010 0:00,2100
2/12/2010 0:00,2200
2/13/2010 0:00,2400
2/14/2010 0:00,2000
2/15/2010 0:00,2000
2/16/2010 0:00,1900
2/17/2010 0:00,2500
2/18/2010 0:00,2400
2/19/2010 0:00,2600
2/20/2010 0:00,2300
2/21/2010 0:00,1800
2/22/2010 0:00,1800
2/23/2010 0:00,1800
2/24/2010 0:00,1400
2/25/2010 0:00,1800
2/26/2010 0:00,2200
2/27/2010 0:00,2000
2/28/2010 0:00,1600
3/1/2010 0:00,1600
3/2/2010 0:00,1700
3/3/2010 0:00,2600
3/4/2010 0:00,2500
3/5/2010 0:00,3000
3/6/2010 0:00,2600
3/7/2010 0:00,2500
3/8/2010 0:00,1700
3/9/2010 0:00,1800
3/10/2010 0:00,2500
3/11/2010 0:00,2500
3/12/2010 0:00,2500
3/13/2010 0:00,2600
3/14/2010 0:00,1800
3/15/2010 0:00,1600
3/16/2010 0:00,1700
3/17/2010 0:00,2400
3/18/2010 0:00,2500
3/19/2010 0:00,2900
3/20/2010 0:00,2000
3/21/2010 0:00,1900
3/22/2010 0:00,1700
3/23/2010 0:00,1600
3/24/2010 0:00,2200
3/25/2010 0:00,2300
3/26/2010 0:00,2800
3/27/2010 0:00,2600
3/28/2010 0:00,1800
3/29/2010 0:00,1700
3/30/2010 0:00,1700
3/31/2010 0:00,2200
4/1/2010 0:00,2000
4/2/2010 0:00,2300
4/3/2010 0:00,2600
4/4/2010 0:00,1600
4/5/2010 0:00,1800
4/6/2010 0:00,3900
4/7/2010 0:00,11500
4/8/2010 0:00,2200
4/9/2010 0:00,3200
4/10/2010 0:00,2300
4/11/2010 0:00,1800
4/12/2010 0:00,1700
4/13/2010 0:00,2000
4/14/2010 0:00,2500
4/15/2010 0:00,2300
4/16/2010 0:00,2500
4/17/2010 0:00,2400
4/18/2010 0:00,2100
4/19/2010 0:00,1800
4/20/2010 0:00,1800
4/21/2010 0:00,2600
4/22/2010 0:00,2400
4/23/2010 0:00,2600
4/24/2010 0:00,2200
4/25/2010 0:00,1600
4/26/2010 0:00,1600
4/27/2010 0:00,1700
4/28/2010 0:00,2600
4/29/2010 0:00,2700
4/30/2010 0:00,2300
5/1/2010 0:00,2400
5/2/2010 0:00,1900
5/3/2010 0:00,1600
5/4/2010 0:00,1800
5/5/2010 0:00,2300
5/6/2010 0:00,2500
5/7/2010 0:00,2400
5/8/2010 0:00,2600
5/9/2010 0:00,1700
5/10/2010 0:00,1600
5/11/2010 0:00,1900
5/12/2010 0:00,2200
5/13/2010 0:00,2400
5/14/2010 0:00,2100
5/15/2010 0:00,2300
5/16/2010 0:00,1900
5/17/2010 0:00,1700
5/18/2010 0:00,1700
5/19/2010 0:00,2400
5/20/2010 0:00,2500
5/21/2010 0:00,2300
5/22/2010 0:00,2400
5/23/2010 0:00,1800
5/24/2010 0:00,1500
5/25/2010 0:00,1600
5/26/2010 0:00,2200
5/27/2010 0:00,2200
5/28/2010 0:00,2100
5/29/2010 0:00,2400
5/30/2010 0:00,1600
5/31/2010 0:00,1500
6/1/2010 0:00,1300
6/2/2010 0:00,2200
6/3/2010 0:00,2200
6/4/2010 0:00,2400
6/5/2010 0:00,2600
6/6/2010 0:00,1600
6/7/2010 0:00,1500
6/8/2010 0:00,1600
6/9/2010 0:00,2000
6/10/2010 0:00,2200
6/11/2010 0:00,2500
6/12/2010 0:00,2300
6/13/2010 0:00,2100
6/14/2010 0:00,1500
6/15/2010 0:00,1600
6/16/2010 0:00,2400
6/17/2010 0:00,2400
6/18/2010 0:00,2400
6/19/2010 0:00,2500
6/20/2010 0:00,1900
6/21/2010 0:00,1600
6/22/2010 0:00,1500
6/23/2010 0:00,2300
6/24/2010 0:00,2600
6/25/2010 0:00,2500
6/26/2010 0:00,2200
6/27/2010 0:00,2200
6/28/2010 0:00,1600
6/29/2010 0:00,1900
6/30/2010 0:00,2200
7/1/2010 0:00,2300
7/2/2010 0:00,2600
7/3/2010 0:00,2400
7/4/2010 0:00,1900
7/5/2010 0:00,1600
7/6/2010 0:00,1800
7/7/2010 0:00,2500
7/8/2010 0:00,2600
7/9/2010 0:00,2500
7/10/2010 0:00,2500
7/13/2010 0:00,1900
7/14/2010 0:00,2600
7/15/2010 0:00,2600
7/16/2010 0:00,2400
7/17/2010 0:00,2300
7/18/2010 0:00,1900
7/19/2010 0:00,1700
7/20/2010 0:00,2000
7/21/2010 0:00,2600
7/22/2010 0:00,3000
7/23/2010 0:00,2900
7/24/2010 0:00,4100
7/25/2010 0:00,7300
7/26/2010 0:00,1900
7/27/2010 0:00,1900
7/28/2010 0:00,2700
7/29/2010 0:00,2800
7/30/2010 0:00,2700
7/31/2010 0:00,2700
8/1/2010 0:00,2100
8/2/2010 0:00,1900
8/3/2010 0:00,1900
8/4/2010 0:00,2500
8/5/2010 0:00,2500
8/6/2010 0:00,2600
8/7/2010 0:00,3000
8/8/2010 0:00,2200
8/9/2010 0:00,1800
8/10/2010 0:00,2200
