DateTime,Water ( Gallons )
9/9/2011 0:00,7190
9/10/2011 0:00,7450
9/11/2011 0:00,4150
9/12/2011 0:00,3860
9/13/2011 0:00,8040
9/14/2011 0:00,13530
9/15/2011 0:00,8270
9/16/2011 0:00,8010
9/17/2011 0:00,6590
9/18/2011 0:00,3760
9/19/2011 0:00,3910
9/20/2011 0:00,7560
9/21/2011 0:00,13340
9/22/2011 0:00,7750
9/23/2011 0:00,9030
9/24/2011 0:00,7840
9/25/2011 0:00,3790
9/26/2011 0:00,4120
9/27/2011 0:00,7760
9/28/2011 0:00,13110
9/29/2011 0:00,7180
9/30/2011 0:00,7770
10/1/2011 0:00,7240
10/2/2011 0:00,3390
10/3/2011 0:00,3630
10/4/2011 0:00,7730
10/5/2011 0:00,15730
10/6/2011 0:00,9140
10/7/2011 0:00,8400
10/8/2011 0:00,6870
10/9/2011 0:00,3260
10/10/2011 0:00,3940
10/11/2011 0:00,8470
10/12/2011 0:00,15520
10/13/2011 0:00,9820
10/14/2011 0:00,10220
10/15/2011 0:00,8540
10/16/2011 0:00,6340
10/17/2011 0:00,6060
10/18/2011 0:00,10200
10/19/2011 0:00,12390
10/20/2011 0:00,8340
10/21/2011 0:00,7760
10/22/2011 0:00,8260
10/23/2011 0:00,8160
10/24/2011 0:00,3750
10/25/2011 0:00,8050
10/26/2011 0:00,9710
10/27/2011 0:00,7820
10/28/2011 0:00,9600
10/29/2011 0:00,7840
10/30/2011 0:00,4300
10/31/2011 0:00,3810
11/1/2011 0:00,7480
11/2/2011 0:00,13140
11/3/2011 0:00,8140
11/4/2011 0:00,7550
11/5/2011 0:00,8310
11/6/2011 0:00,5200
11/7/2011 0:00,5170
11/8/2011 0:00,8730
11/9/2011 0:00,15160
11/10/2011 0:00,9530
11/11/2011 0:00,8440
11/12/2011 0:00,7650
11/13/2011 0:00,4200
11/14/2011 0:00,4660
11/15/2011 0:00,10750
11/16/2011 0:00,13380
11/17/2011 0:00,7920
11/18/2011 0:00,8510
11/19/2011 0:00,5960
11/20/2011 0:00,3570
11/21/2011 0:00,2830
11/22/2011 0:00,6410
11/23/2011 0:00,8080
11/24/2011 0:00,4140
11/25/2011 0:00,1780
11/26/2011 0:00,1920
11/27/2011 0:00,1960
11/28/2011 0:00,2530
11/29/2011 0:00,6900
11/30/2011 0:00,13930
12/1/2011 0:00,6390
12/2/2011 0:00,6020
12/3/2011 0:00,5230
12/4/2011 0:00,1450
12/5/2011 0:00,1680
12/6/2011 0:00,5000
12/7/2011 0:00,5150
12/8/2011 0:00,5650
12/9/2011 0:00,5700
12/10/2011 0:00,5700
12/11/2011 0:00,5700
12/12/2011 0:00,5700
12/13/2011 0:00,5260
12/14/2011 0:00,5100
12/15/2011 0:00,4490
12/16/2011 0:00,4350
12/17/2011 0:00,4240
12/18/2011 0:00,2330
12/19/2011 0:00,2350
12/20/2011 0:00,3870
12/21/2011 0:00,4300
12/22/2011 0:00,3860
12/23/2011 0:00,5830
12/24/2011 0:00,6620
12/25/2011 0:00,1650
12/26/2011 0:00,980
12/27/2011 0:00,1830
12/28/2011 0:00,1550
12/29/2011 0:00,1910
12/30/2011 0:00,1470
12/31/2011 0:00,3810
1/1/2012 0:00,2830
1/2/2012 0:00,1160
1/3/2012 0:00,1530
1/4/2012 0:00,2810
1/5/2012 0:00,3190
1/6/2012 0:00,4640
1/7/2012 0:00,5730
1/8/2012 0:00,1800
1/9/2012 0:00,1690
1/10/2012 0:00,3770
1/11/2012 0:00,3940
1/12/2012 0:00,3430
1/13/2012 0:00,3600
1/14/2012 0:00,3670
1/15/2012 0:00,1190
1/16/2012 0:00,1690
1/17/2012 0:00,4350
1/18/2012 0:00,10280
1/19/2012 0:00,8290
1/20/2012 0:00,8510
1/21/2012 0:00,5510
1/22/2012 0:00,1290
1/23/2012 0:00,1780
1/24/2012 0:00,6020
1/25/2012 0:00,5700
1/27/2012 0:00,10920
1/28/2012 0:00,11620
1/29/2012 0:00,2870
1/30/2012 0:00,2110
1/31/2012 0:00,5990
2/1/2012 0:00,6890
2/2/2012 0:00,7170
2/3/2012 0:00,7930
2/4/2012 0:00,5260
2/5/2012 0:00,1880
2/6/2012 0:00,2240
2/7/2012 0:00,7140
2/8/2012 0:00,9600
2/9/2012 0:00,6390
2/10/2012 0:00,5930
2/11/2012 0:00,7830
2/12/2012 0:00,8760
2/13/2012 0:00,8500
2/14/2012 0:00,9340
2/15/2012 0:00,7000
2/16/2012 0:00,6350
2/17/2012 0:00,6190
2/18/2012 0:00,7090
2/19/2012 0:00,1670
2/20/2012 0:00,2020
2/21/2012 0:00,10600
2/22/2012 0:00,10320
2/23/2012 0:00,6060
2/24/2012 0:00,8000
2/25/2012 0:00,5030
2/26/2012 0:00,2290
2/27/2012 0:00,2440
