DateTime,Water ( Gallons )
2/24/2011 0:00,500
2/25/2011 0:00,300
2/26/2011 0:00,700
2/27/2011 0:00,0
2/28/2011 0:00,300
3/1/2011 0:00,300
3/2/2011 0:00,500
3/3/2011 0:00,200
3/4/2011 0:00,700
3/5/2011 0:00,200
3/6/2011 0:00,400
3/7/2011 0:00,0
3/8/2011 0:00,600
3/9/2011 0:00,200
3/10/2011 0:00,600
3/11/2011 0:00,200
3/12/2011 0:00,500
3/13/2011 0:00,0
3/14/2011 0:00,300
3/15/2011 0:00,400
3/16/2011 0:00,400
3/17/2011 0:00,100
3/18/2011 0:00,400
3/19/2011 0:00,200
3/20/2011 0:00,300
3/21/2011 0:00,0
3/22/2011 0:00,500
3/23/2011 0:00,200
3/24/2011 0:00,600
3/25/2011 0:00,200
3/26/2011 0:00,400
3/27/2011 0:00,0
3/28/2011 0:00,400
3/29/2011 0:00,100
3/30/2011 0:00,500
3/31/2011 0:00,200
4/1/2011 0:00,500
4/2/2011 0:00,200
4/3/2011 0:00,300
4/4/2011 0:00,0
4/5/2011 0:00,500
4/6/2011 0:00,300
4/7/2011 0:00,700
4/8/2011 0:00,200
4/9/2011 0:00,400
4/10/2011 0:00,0
4/11/2011 0:00,300
4/12/2011 0:00,200
4/13/2011 0:00,800
4/14/2011 0:00,200
4/15/2011 0:00,500
4/16/2011 0:00,200
4/17/2011 0:00,300
4/18/2011 0:00,0
4/19/2011 0:00,700
4/20/2011 0:00,200
4/21/2011 0:00,500
4/22/2011 0:00,200
4/23/2011 0:00,400
4/24/2011 0:00,0
4/25/2011 0:00,300
4/26/2011 0:00,300
4/27/2011 0:00,500
4/28/2011 0:00,200
4/29/2011 0:00,600
4/30/2011 0:00,300
5/1/2011 0:00,300
5/2/2011 0:00,100
5/3/2011 0:00,700
5/4/2011 0:00,200
5/5/2011 0:00,600
5/6/2011 0:00,200
5/7/2011 0:00,600
5/8/2011 0:00,100
5/9/2011 0:00,300
5/10/2011 0:00,100
5/11/2011 0:00,500
5/12/2011 0:00,200
5/13/2011 0:00,400
5/14/2011 0:00,300
5/15/2011 0:00,300
5/16/2011 0:00,0
5/17/2011 0:00,400
5/18/2011 0:00,200
5/19/2011 0:00,400
5/20/2011 0:00,200
5/21/2011 0:00,500
5/22/2011 0:00,0
5/23/2011 0:00,300
5/24/2011 0:00,200
5/25/2011 0:00,500
5/26/2011 0:00,200
5/27/2011 0:00,400
5/28/2011 0:00,100
5/29/2011 0:00,300
5/30/2011 0:00,0
5/31/2011 0:00,300
6/1/2011 0:00,200
6/2/2011 0:00,400
6/3/2011 0:00,100
6/4/2011 0:00,400
6/5/2011 0:00,0
6/6/2011 0:00,300
6/7/2011 0:00,200
6/8/2011 0:00,500
6/9/2011 0:00,300
6/10/2011 0:00,500
6/11/2011 0:00,200
6/12/2011 0:00,300
6/13/2011 0:00,0
6/14/2011 0:00,400
6/15/2011 0:00,200
6/16/2011 0:00,500
6/17/2011 0:00,100
6/18/2011 0:00,500
6/19/2011 0:00,0
6/20/2011 0:00,300
6/21/2011 0:00,400
6/22/2011 0:00,500
6/23/2011 0:00,200
6/24/2011 0:00,500
6/25/2011 0:00,4300
6/26/2011 0:00,1700
6/27/2011 0:00,0
6/28/2011 0:00,900
6/29/2011 0:00,100
6/30/2011 0:00,500
7/1/2011 0:00,200
7/2/2011 0:00,400
7/3/2011 0:00,0
7/4/2011 0:00,300
7/5/2011 0:00,0
7/6/2011 0:00,400
7/7/2011 0:00,200
7/8/2011 0:00,500
7/9/2011 0:00,100
7/10/2011 0:00,300
7/11/2011 0:00,100
7/12/2011 0:00,500
7/13/2011 0:00,200
7/14/2011 0:00,400
7/15/2011 0:00,100
7/16/2011 0:00,400
7/17/2011 0:00,0
7/18/2011 0:00,300
7/19/2011 0:00,100
7/20/2011 0:00,500
7/21/2011 0:00,200
7/22/2011 0:00,500
7/23/2011 0:00,200
7/24/2011 0:00,300
7/25/2011 0:00,0
7/26/2011 0:00,500
7/27/2011 0:00,200
7/28/2011 0:00,500
7/29/2011 0:00,200
7/30/2011 0:00,500
7/31/2011 0:00,0
8/1/2011 0:00,300
8/2/2011 0:00,1200
8/3/2011 0:00,500
8/4/2011 0:00,200
8/5/2011 0:00,400
8/6/2011 0:00,200
8/7/2011 0:00,200
8/8/2011 0:00,0
8/9/2011 0:00,400
8/10/2011 0:00,200
8/11/2011 0:00,600
8/12/2011 0:00,500
8/13/2011 0:00,700
8/14/2011 0:00,300
8/15/2011 0:00,300
8/16/2011 0:00,800
8/17/2011 0:00,500
8/18/2011 0:00,500
8/19/2011 0:00,700
8/20/2011 0:00,300
8/21/2011 0:00,200
8/22/2011 0:00,200
8/23/2011 0:00,1000
8/24/2011 0:00,400
8/25/2011 0:00,400
8/26/2011 0:00,1000
8/27/2011 0:00,1200
8/28/2011 0:00,300
8/29/2011 0:00,300
8/30/2011 0:00,1000
8/31/2011 0:00,800
9/1/2011 0:00,700
9/2/2011 0:00,600
9/3/2011 0:00,400
9/4/2011 0:00,400
9/5/2011 0:00,300
9/6/2011 0:00,300
9/7/2011 0:00,600
9/8/2011 0:00,700
9/9/2011 0:00,700
9/10/2011 0:00,600
9/11/2011 0:00,300
9/12/2011 0:00,400
9/13/2011 0:00,700
9/14/2011 0:00,600
9/15/2011 0:00,600
9/16/2011 0:00,700
9/17/2011 0:00,900
9/18/2011 0:00,300
9/19/2011 0:00,400
9/20/2011 0:00,700
9/21/2011 0:00,600
9/22/2011 0:00,700
9/23/2011 0:00,600
9/24/2011 0:00,800
9/25/2011 0:00,300
9/26/2011 0:00,300
9/27/2011 0:00,700
9/28/2011 0:00,1000
9/29/2011 0:00,700
9/30/2011 0:00,700
10/1/2011 0:00,600
10/2/2011 0:00,300
10/3/2011 0:00,400
10/4/2011 0:00,800
10/5/2011 0:00,600
10/6/2011 0:00,700
10/7/2011 0:00,700
10/8/2011 0:00,600
10/9/2011 0:00,300
10/10/2011 0:00,400
10/11/2011 0:00,700
10/12/2011 0:00,600
10/13/2011 0:00,1000
10/14/2011 0:00,700
10/15/2011 0:00,700
10/16/2011 0:00,0
10/17/2011 0:00,100
10/18/2011 0:00,400
10/19/2011 0:00,400
10/20/2011 0:00,400
10/21/2011 0:00,300
10/22/2011 0:00,200
10/23/2011 0:00,0
10/24/2011 0:00,100
10/25/2011 0:00,400
10/26/2011 0:00,700
10/27/2011 0:00,700
10/28/2011 0:00,600
10/29/2011 0:00,500
10/30/2011 0:00,400
10/31/2011 0:00,300
11/1/2011 0:00,700
11/2/2011 0:00,600
11/3/2011 0:00,700
11/4/2011 0:00,700
11/5/2011 0:00,800
11/6/2011 0:00,400
11/7/2011 0:00,400
11/8/2011 0:00,700
11/9/2011 0:00,700
11/10/2011 0:00,600
11/11/2011 0:00,600
11/12/2011 0:00,600
11/13/2011 0:00,300
11/14/2011 0:00,300
11/15/2011 0:00,800
11/16/2011 0:00,700
11/17/2011 0:00,1300
11/18/2011 0:00,600
11/19/2011 0:00,600
11/20/2011 0:00,300
11/21/2011 0:00,400
11/22/2011 0:00,700
11/23/2011 0:00,700
11/24/2011 0:00,500
11/25/2011 0:00,300
11/26/2011 0:00,400
11/27/2011 0:00,300
11/28/2011 0:00,400
11/29/2011 0:00,700
11/30/2011 0:00,700
12/1/2011 0:00,700
12/2/2011 0:00,700
12/3/2011 0:00,500
12/4/2011 0:00,400
12/5/2011 0:00,300
12/6/2011 0:00,500
12/7/2011 0:00,500
12/8/2011 0:00,500
12/9/2011 0:00,500
12/10/2011 0:00,500
12/11/2011 0:00,500
12/12/2011 0:00,500
12/13/2011 0:00,600
12/14/2011 0:00,700
12/15/2011 0:00,500
12/16/2011 0:00,700
12/17/2011 0:00,600
12/18/2011 0:00,300
12/19/2011 0:00,300
12/20/2011 0:00,500
12/21/2011 0:00,400
12/22/2011 0:00,500
12/23/2011 0:00,400
12/24/2011 0:00,300
12/25/2011 0:00,400
12/26/2011 0:00,300
12/27/2011 0:00,300
12/28/2011 0:00,300
12/29/2011 0:00,400
12/30/2011 0:00,400
12/31/2011 0:00,300
1/1/2012 0:00,300
1/2/2012 0:00,500
1/3/2012 0:00,500
1/4/2012 0:00,800
1/5/2012 0:00,400
1/6/2012 0:00,500
1/7/2012 0:00,600
1/8/2012 0:00,300
1/9/2012 0:00,400
1/10/2012 0:00,500
1/11/2012 0:00,500
1/12/2012 0:00,500
1/13/2012 0:00,600
1/14/2012 0:00,500
1/15/2012 0:00,300
1/16/2012 0:00,300
1/17/2012 0:00,400
1/18/2012 0:00,900
1/19/2012 0:00,600
1/20/2012 0:00,800
1/21/2012 0:00,600
1/22/2012 0:00,300
1/23/2012 0:00,300
1/24/2012 0:00,700
1/25/2012 0:00,600
1/27/2012 0:00,600
1/28/2012 0:00,600
1/29/2012 0:00,300
1/30/2012 0:00,300
1/31/2012 0:00,700
2/1/2012 0:00,700
2/2/2012 0:00,700
2/3/2012 0:00,700
2/4/2012 0:00,600
2/5/2012 0:00,400
2/6/2012 0:00,300
2/7/2012 0:00,700
2/8/2012 0:00,800
2/9/2012 0:00,600
2/10/2012 0:00,600
2/11/2012 0:00,700
2/12/2012 0:00,300
2/13/2012 0:00,300
2/14/2012 0:00,700
2/15/2012 0:00,700
2/16/2012 0:00,700
2/17/2012 0:00,600
2/18/2012 0:00,700
2/19/2012 0:00,300
2/20/2012 0:00,300
2/21/2012 0:00,700
2/22/2012 0:00,700
2/23/2012 0:00,700
2/24/2012 0:00,700
2/25/2012 0:00,600
2/26/2012 0:00,400
2/27/2012 0:00,300
2/28/2012 0:00,900
2/29/2012 0:00,600
3/1/2012 0:00,700
3/2/2012 0:00,700
3/3/2012 0:00,600
3/4/2012 0:00,700
3/5/2012 0:00,300
3/6/2012 0:00,700
3/7/2012 0:00,600
3/8/2012 0:00,700
3/9/2012 0:00,600
3/10/2012 0:00,500
3/11/2012 0:00,300
3/12/2012 0:00,400
3/13/2012 0:00,500
3/14/2012 0:00,500
3/15/2012 0:00,500
3/16/2012 0:00,600
3/17/2012 0:00,400
3/18/2012 0:00,400
3/19/2012 0:00,300
3/20/2012 0:00,600
3/21/2012 0:00,600
3/22/2012 0:00,700
3/23/2012 0:00,800
3/24/2012 0:00,500
3/25/2012 0:00,300
3/26/2012 0:00,300
3/27/2012 0:00,600
3/28/2012 0:00,600
3/29/2012 0:00,500
3/30/2012 0:00,500
3/31/2012 0:00,300
4/1/2012 0:00,100
4/2/2012 0:00,0
4/3/2012 0:00,400
4/4/2012 0:00,400
4/5/2012 0:00,400
4/6/2012 0:00,300
4/7/2012 0:00,400
4/8/2012 0:00,0
4/9/2012 0:00,0
4/10/2012 0:00,400
4/11/2012 0:00,500
4/12/2012 0:00,300
4/13/2012 0:00,400
4/14/2012 0:00,300
4/15/2012 0:00,100
4/16/2012 0:00,0
4/17/2012 0:00,400
4/18/2012 0:00,400
4/19/2012 0:00,300
4/20/2012 0:00,900
4/21/2012 0:00,1400
4/22/2012 0:00,400
4/23/2012 0:00,300
4/24/2012 0:00,600
4/25/2012 0:00,1700
4/26/2012 0:00,1100
4/27/2012 0:00,600
4/28/2012 0:00,600
4/29/2012 0:00,300
4/30/2012 0:00,300
5/1/2012 0:00,1300
5/2/2012 0:00,700
5/3/2012 0:00,600
5/4/2012 0:00,700
5/5/2012 0:00,500
5/6/2012 0:00,300
5/7/2012 0:00,400
5/8/2012 0:00,500
5/9/2012 0:00,500
5/10/2012 0:00,600
5/11/2012 0:00,500
5/12/2012 0:00,1100
5/13/2012 0:00,300
5/14/2012 0:00,300
5/15/2012 0:00,700
5/16/2012 0:00,500
5/17/2012 0:00,400
5/18/2012 0:00,600
5/19/2012 0:00,400
5/20/2012 0:00,400
5/21/2012 0:00,300
5/22/2012 0:00,400
5/23/2012 0:00,500
5/24/2012 0:00,500
5/25/2012 0:00,400
5/26/2012 0:00,500
5/27/2012 0:00,300
5/28/2012 0:00,300
5/29/2012 0:00,300
5/30/2012 0:00,500
5/31/2012 0:00,600
6/1/2012 0:00,500
6/2/2012 0:00,600
6/3/2012 0:00,300
6/4/2012 0:00,300
6/5/2012 0:00,500
6/6/2012 0:00,500
6/7/2012 0:00,500
6/8/2012 0:00,500
6/9/2012 0:00,500
6/10/2012 0:00,300
6/11/2012 0:00,300
6/12/2012 0:00,400
6/13/2012 0:00,700
6/14/2012 0:00,1300
6/15/2012 0:00,600
6/16/2012 0:00,600
6/17/2012 0:00,300
6/18/2012 0:00,300
6/19/2012 0:00,400
6/20/2012 0:00,500
6/21/2012 0:00,400
6/22/2012 0:00,400
6/23/2012 0:00,400
6/24/2012 0:00,300
6/25/2012 0:00,200
6/26/2012 0:00,400
6/27/2012 0:00,500
6/28/2012 0:00,400
6/29/2012 0:00,400
6/30/2012 0:00,400
7/1/2012 0:00,400
7/2/2012 0:00,200
7/3/2012 0:00,500
7/4/2012 0:00,600
7/5/2012 0:00,300
7/6/2012 0:00,500
7/7/2012 0:00,500
7/8/2012 0:00,300
7/9/2012 0:00,300
7/10/2012 0:00,600
7/11/2012 0:00,500
7/12/2012 0:00,500
7/13/2012 0:00,400
7/14/2012 0:00,500
7/15/2012 0:00,300
7/16/2012 0:00,300
7/17/2012 0:00,500
7/18/2012 0:00,600
7/19/2012 0:00,500
7/20/2012 0:00,500
7/21/2012 0:00,400
7/22/2012 0:00,400
7/23/2012 0:00,300
7/24/2012 0:00,500
7/25/2012 0:00,400
7/26/2012 0:00,500
7/27/2012 0:00,200
7/28/2012 0:00,200
7/29/2012 0:00,0
7/30/2012 0:00,0
7/31/2012 0:00,200
8/1/2012 0:00,500
8/2/2012 0:00,200
8/3/2012 0:00,400
8/4/2012 0:00,600
8/5/2012 0:00,0
8/6/2012 0:00,200
8/7/2012 0:00,300
8/8/2012 0:00,300
8/9/2012 0:00,500
8/10/2012 0:00,600
8/11/2012 0:00,600
8/12/2012 0:00,500
8/13/2012 0:00,300
8/14/2012 0:00,600
8/15/2012 0:00,700
8/16/2012 0:00,500
8/17/2012 0:00,400
8/18/2012 0:00,500
8/19/2012 0:00,300
8/20/2012 0:00,300
8/21/2012 0:00,400
8/22/2012 0:00,500
8/23/2012 0:00,400
8/24/2012 0:00,600
8/25/2012 0:00,400
8/26/2012 0:00,0
8/27/2012 0:00,0
8/28/2012 0:00,600
8/29/2012 0:00,700
8/30/2012 0:00,700
8/31/2012 0:00,600
9/1/2012 0:00,700
9/2/2012 0:00,400
9/3/2012 0:00,300
9/4/2012 0:00,300
9/5/2012 0:00,900
9/6/2012 0:00,600
9/7/2012 0:00,600
9/8/2012 0:00,500
9/9/2012 0:00,300
9/10/2012 0:00,300
9/11/2012 0:00,600
9/12/2012 0:00,700
9/13/2012 0:00,800
9/14/2012 0:00,200
9/15/2012 0:00,200
9/16/2012 0:00,300
9/17/2012 0:00,300
9/18/2012 0:00,900
9/19/2012 0:00,600
9/20/2012 0:00,800
9/21/2012 0:00,700
9/22/2012 0:00,600
9/23/2012 0:00,300
9/24/2012 0:00,300
9/25/2012 0:00,700
9/26/2012 0:00,1200
9/27/2012 0:00,1300
9/28/2012 0:00,600
9/29/2012 0:00,500
9/30/2012 0:00,300
10/1/2012 0:00,300
10/2/2012 0:00,700
10/3/2012 0:00,700
10/4/2012 0:00,700
10/5/2012 0:00,600
10/6/2012 0:00,500
10/7/2012 0:00,300
10/8/2012 0:00,300
10/9/2012 0:00,700
10/10/2012 0:00,800
10/11/2012 0:00,500
10/12/2012 0:00,500
10/13/2012 0:00,300
10/14/2012 0:00,0
10/15/2012 0:00,0
10/16/2012 0:00,600
10/17/2012 0:00,700
10/18/2012 0:00,600
10/19/2012 0:00,700
10/20/2012 0:00,600
10/21/2012 0:00,300
10/22/2012 0:00,300
10/23/2012 0:00,1100
10/24/2012 0:00,700
10/25/2012 0:00,700
10/26/2012 0:00,800
10/27/2012 0:00,600
10/28/2012 0:00,300
10/29/2012 0:00,300
10/30/2012 0:00,800
10/31/2012 0:00,700
11/1/2012 0:00,600
11/2/2012 0:00,700
11/3/2012 0:00,500
11/4/2012 0:00,300
11/5/2012 0:00,300
11/6/2012 0:00,500
11/7/2012 0:00,600
11/8/2012 0:00,600
11/9/2012 0:00,600
11/10/2012 0:00,500
11/11/2012 0:00,200
11/12/2012 0:00,200
11/13/2012 0:00,700
11/14/2012 0:00,600
11/15/2012 0:00,600
11/16/2012 0:00,500
11/17/2012 0:00,500
11/18/2012 0:00,100
11/19/2012 0:00,0
11/20/2012 0:00,400
11/21/2012 0:00,500
11/22/2012 0:00,400
11/23/2012 0:00,0
11/24/2012 0:00,100
11/25/2012 0:00,0
11/26/2012 0:00,100
11/27/2012 0:00,500
11/28/2012 0:00,400
11/29/2012 0:00,400
11/30/2012 0:00,500
12/1/2012 0:00,400
12/2/2012 0:00,0
12/3/2012 0:00,100
12/4/2012 0:00,400
12/5/2012 0:00,400
12/6/2012 0:00,400
12/7/2012 0:00,300
12/8/2012 0:00,300
12/9/2012 0:00,0
12/10/2012 0:00,0
12/11/2012 0:00,400
12/12/2012 0:00,200
12/13/2012 0:00,400
12/14/2012 0:00,300
12/15/2012 0:00,400
12/16/2012 0:00,0
12/17/2012 0:00,0
12/18/2012 0:00,300
12/19/2012 0:00,300
12/20/2012 0:00,200
12/21/2012 0:00,200
12/22/2012 0:00,200
12/23/2012 0:00,0
12/24/2012 0:00,0
12/25/2012 0:00,0
12/26/2012 0:00,0
12/27/2012 0:00,100
12/28/2012 0:00,0
12/29/2012 0:00,0
12/30/2012 0:00,0
12/31/2012 0:00,100
1/1/2013 0:00,0
1/2/2013 0:00,0
1/3/2013 0:00,200
1/4/2013 0:00,400
1/5/2013 0:00,100
1/6/2013 0:00,100
1/7/2013 0:00,0
1/8/2013 0:00,300
1/9/2013 0:00,300
1/10/2013 0:00,200
1/11/2013 0:00,200
1/12/2013 0:00,200
1/13/2013 0:00,100
1/14/2013 0:00,100
1/15/2013 0:00,400
1/16/2013 0:00,300
1/17/2013 0:00,400
1/18/2013 0:00,300
1/19/2013 0:00,300
1/20/2013 0:00,100
